group_key,stereo_scaffold,benzene,rmse_V1B_RIDGE_TIERA,rmse_S2A_FROZEN_PIPELINE,rmse_B0_NULL_PROFILE,rmse_B1_MASS_ONLY_ISOTONIC,rmse_V1A_STABLE_LAW,rmse_V1C_RICH_RIDGE_24,rmse_V1B_WUR_ONLY_TRAINED
AABILZKQMVKFHP,C1=CC2CCC[NH+]2C1,False,0.1024685016841093,0.09066104296866831,0.15192986320363644,0.09198558753282586,0.10263264522431437,0.10141619975414955,0.08917822040723257
AAEVYOVXGOFMJO,c1ncncn1,False,0.12397108319471277,0.09631115144614183,0.12313997649592054,0.08319782423498621,0.14647224025130026,0.08974980877172672,0.10385702286243016
AAVMGRPGPSSZBQ,O=C1CCCC(=O)OC2CCN3CC=C(CO1)C23,False,0.07703306442896395,0.07658191071200549,0.09751974371541328,0.08192968906570923,0.11102195835706441,0.0809778475621539,0.09588337957225418
ABOOPXYCKNFDNJ,c1ccc(Oc2cnc3ccccc3n2)cc1,False,0.019429438156629696,0.05121475342057024,0.06716861234510824,0.09421813934703206,0.030132326938946297,0.0200946717107325,0.04406158817860397
ACMXQHFNODYQAT,O=C(Cc1ccccc1)NC(=NOCC1CC1)c1ccccc1,False,0.048702160447788696,0.11348113064071462,0.07454712635160408,0.05509385722203943,0.05805174652035235,0.05161786495863756,0.09193476318101472
ACWBQPMHZXGDFX,c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,False,0.07887057104784943,0.043016607707295186,0.04051365531061508,0.09483781208843321,0.08964748370418082,0.0822049226608541,0.06361950239930846
ADIMAYPTOBDMTL,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,0.030967614764239867,0.028983792809774773,0.17386833173247468,0.130398435231611,0.04626941992574392,0.08954935024461272,0.04041306749208824
AEHJMNVBLRLZKK,c1ccc(OCCCOc2ccccn2)cc1,False,0.1354643289698416,0.2681138590762236,0.26942564590042306,0.14462129543338478,0.19345804996935295,0.15208890870071673,0.19318670422243608
AFIIBUOYKYSPKB,c1ncncn1,False,0.0862949418396515,0.1634715433062973,0.09914124542999449,0.22976135579572227,0.12354157503280613,0.05881390267703787,0.09637143851181505
AGTBLMHWQIEASU,c1ccc(-c2ccccc2)cc1,False,0.09024322239774345,0.09487763077321512,0.09028525777802851,0.10788661856054305,0.11531245715817956,0.1149083028739707,0.09330683909761625
AHIPJALLQVEEQF,c1cc(N(CC2CO2)CC2CO2)ccc1OCC1CO1,False,0.013466904090950568,0.09190477580449044,0.03726092103419178,0.01737002044875735,0.024725631883842164,0.014756531725408377,0.03663866035012333
ALEXXDVDDISNDU,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,0.0579892489721378,0.08939451786587345,0.1072574000084312,0.03453093272669422,0.03493830726843185,0.05354788371600754,0.05509967705368093
ALRRPAKWGUBPBK,N=C1NC2CNC(=N)N3CCCC23N1,False,0.18759886668493728,0.09179331962844642,0.10953677014709663,0.11668530756531471,0.14812789232941542,0.16673405529060287,0.19577865625917645
AMFDITJFBUXZQN,c1ncc2[nH]cc(C3CCCN3)c2n1,False,0.05958249786271563,0.047806910841888074,0.12400165336845827,0.09078877067428341,0.09780296510015211,0.06513173168931298,0.05249111823142093
ANVREEJNGJMLOV,O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1,False,0.04815201484387587,0.096744829867995,0.12716625794786474,0.027070453143848823,0.03954745253923737,0.07065265233434052,0.06994160391325221
APTZNLHMIGJTEW,c1ccc(-c2cc[nH]n2)cc1,False,0.2185249442990364,0.10358587837089678,0.12711587057820495,0.22662444472702106,0.18078976793978485,0.24547553029666933,0.16688295598091427
ARAIBEBZBOPLMB,C1=COCCC1,False,0.09814793358948304,0.10549455606472154,0.16889769195826015,0.18486258889297313,0.04856613014256988,0.08750937986758152,0.07656401445128025
ASLWPAWFJZFCKF,__ACYCLIC__,False,0.1037231051975789,0.164701158961802,0.2750663962925579,0.15009050456345202,0.13644324583343792,0.18957933516491762,0.14652232900516482
ASXBYYWOLISCLQ,C1CCC(OC2OCCC2OC2CCCCO2)CC1,False,0.08980604935782256,0.04684822621909051,0.13073282778796141,0.10382331992869295,0.1025502008611683,0.10382331992869295,0.09471853220001775
AXMBYGGSBXWTEY,c1ccncc1,False,0.10855919395823506,0.06508182003182454,0.16305028652121062,0.04216186714317964,0.10270261615840283,0.033879112345939634,0.10623458467957105
AYEAUPRZTZWBBF,c1ccncc1,False,0.08078606969399992,0.13027104695865224,0.06616388855294848,0.12194041064844484,0.12140572357748315,0.07475108561261443,0.06561239521300938
BATVZJPOLFSGTD,c1ccc(N=Nc2ccccc2)cc1,False,0.055310891365773336,0.06035728691660857,0.09969640992852827,0.06378533253703147,0.04692798372806505,0.059869354970945,0.03502907983487312
BCQMBFHBDZVHKU,c1ncncn1,False,0.06847012567201162,0.08137048388636783,0.10673158250400314,0.07761662092446477,0.1325967662090164,0.066447803887054,0.07264561269774378
BEGLCMHJXHIJLR,O=c1ccs[nH]1,False,0.057804137106089615,0.10724324839595382,0.24843006077136087,0.03833856121944486,0.14277807831077358,0.07437349485159236,0.07272341601423651
BEMXOWRVWRNPPL,O=C1NC(=O)c2ccccc21,False,0.0705360805945268,0.14067851353791286,0.06726334263202477,0.10345233988831914,0.10467264061784703,0.07286693677519249,0.08575197525073537
BFYIZQONLCFLEV,C=C1CC2C(CCC3C(=O)CCC32)C2C=CC(=O)C=C12,False,0.1657109916978084,0.23801797158308313,0.08710386938328471,0.11499062693502612,0.19794777212915168,0.17523510048485413,0.13144442505920392
