group_key,smiles,parent_key,primary_source,measured_lcsb,measured_wur,historical_class,adduct,wur_adduct,scaffold_v1,scaffold_group,stereo_in_smiles,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,strict_cluster
AABILZKQMVKFHP,CO[C@H](C)C(O)(C(=O)OCC1=CC[N+]2([O-])CC[C@H](OC(=O)\C(C)=C/C)[C@@H]12)C(C)(C)O,AABILZKQMVKFHP,WUR,False,True,WUR-SEALED,[M+H]+,[M+H]+,C1=C[C@@H]2CCC[NH+]2C1,C1=CC2CCC[NH+]2C1,True,428.228149414063,63.0,8.0,2.0,0.0,6.0,125.35000000000001,0.3,1.0,8.0,0.0,0.0,SC0000
AAEVYOVXGOFMJO,CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,AAEVYOVXGOFMJO,WUR,False,True,WUR-SEALED,[M+H]+,[M+H]+,c1ncncn1,c1ncncn1,False,242.143569946289,35.0,5.0,1.0,1.0,4.0,62.730000000000004,0.375,5.0,0.0,1.0,0.0,SC0001
AAGFPTSOPGCENQ,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,AAGFPTSOPGCENQ,WUR,False,True,WUR-DEV-ANALYSIS,[M+H]+,[M+H]+,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,True,247.180969238281,40.0,0.0,4.0,0.0,6.0,23.550000000000004,0.16666666666666666,2.0,1.0,0.0,0.0,SC0002
AAVMGRPGPSSZBQ,C[C@@]1(O)[C@H](C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@@H]32)C(C)C,AAVMGRPGPSSZBQ,WUR,False,True,WUR-SEALED,[M+H]+,[M+H]+,O=C1CCCC(=O)O[C@@H]2CCN3CC=C(CO1)[C@H]23,O=C1CCCC(=O)OC2CCN3CC=C(CO1)C23,True,370.186431884766,53.0,2.0,3.0,0.0,6.0,116.53,0.3076923076923077,1.0,7.0,0.0,0.0,SC0003
ABOOPXYCKNFDNJ,CC(OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1)C(O)=O,ABOOPXYCKNFDNJ,WUR,False,True,WUR-SEALED,[M+H]+,[M+H]+,c1ccc(Oc2cnc3ccccc3n2)cc1,c1ccc(Oc2cnc3ccccc3n2)cc1,False,345.063659667969,37.0,5.0,3.0,3.0,12.5,81.53999999999999,0.2916666666666667,2.0,4.0,0.0,1.0,SC0004
ACGPKIHTJATAMX,C[C@]1(O)C(=O)OCC2=CCN3CC[C@@H](OC(=O)[C@@]4(CO4)[C@H](C)[C@H]1C)[C@H]32,ACGPKIHTJATAMX,WUR,False,True,WUR-DEV-HOLD,[M+H]+,[M+H]+,O=C1CCC[C@]2(CO2)C(=O)O[C@@H]2CCN3CC=C(CO1)[C@H]23,O=C1CCCC2(CO2)C(=O)OC2CCN3CC=C(CO1)C23,True,352.175872802734,50.0,0.0,4.0,0.0,7.0,88.6,0.28,1.0,6.0,0.0,0.0,SC0003
ACMXQHFNODYQAT,FC1=C(F)C(\C(NC(=O)CC2=CC=CC=C2)=N\OCC2CC2)=C(C=C1)C(F)(F)F,ACMXQHFNODYQAT,WUR,False,True,WUR-SEALED,[M+H]+,[M+H]+,O=C(Cc1ccccc1)N/C(=N\OCC1CC1)c1ccccc1,O=C(Cc1ccccc1)NC(=NOCC1CC1)c1ccccc1,True,413.128387451172,46.0,6.0,3.0,2.0,11.0,50.69,0.3103448275862069,2.0,2.0,0.0,5.0,SC0005
ACWBQPMHZXGDFX,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,ACWBQPMHZXGDFX,WUR,False,True,WUR-SEALED,[M+H]+,[M+H]+,c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,True,436.235198974609,61.0,10.0,3.0,3.0,13.5,112.07000000000001,0.25,5.0,3.0,0.0,0.0,SC0006
ADFIQZBYNGPCGY,[H][C@@]12O[C@]3([H])C=C(C)C(=O)[C@@H](O)[C@]3(CO)[C@@](C)(C[C@H]1OC(C)=O)[C@]21CO1,ADFIQZBYNGPCGY,WUR,False,True,WUR-DEV-HOLD,[M+H]+,[M+H]+,O=C1C=C[C@H]2O[C@@H]3CCC(C2C1)[C@]31CO1,O=C1C=CC2OC3CCC(C2C1)C31CO1,True,339.144134521484,46.0,2.0,4.0,0.0,7.0,105.59,0.2916666666666667,0.0,7.0,0.0,0.0,SC0007
ADIMAYPTOBDMTL,OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,ADIMAYPTOBDMTL,WUR,False,True,WUR-SEALED,[M+H]+,[M+H]+,O=C1CN=C(c2ccccc2)c2ccccc2N1,O=C1CN=C(c2ccccc2)c2ccccc2N1,False,287.058349609375,31.0,1.0,3.0,2.0,11.0,61.690000000000005,0.25,2.0,2.0,0.0,1.0,SC0008
ADWTYURAFSWNSU,ClC1=CC=C(CN2CCNC2=O)C=N1,ADWTYURAFSWNSU,WUR,False,True,WUR-DEV-ANALYSIS,[M+H]+,[M+H]+,O=C1NCCN1Cc1cccnc1,O=C1NCCN1Cc1cccnc1,False,212.058654785156,24.0,2.0,2.0,1.0,6.0,45.230000000000004,0.35714285714285715,3.0,1.0,0.0,1.0,SC0009
AEHJMNVBLRLZKK,FC(F)(F)C1=CN=C(OCCCOC2=C(Cl)C=C(OCC=C(Cl)Cl)C=C2Cl)C=C1,AEHJMNVBLRLZKK,WUR,False,True,WUR-SEALED,[M+H]+,[M+H]+,c1ccc(OCCCOc2ccccn2)cc1,c1ccc(OCCCOc2ccccn2)cc1,False,489.975280761719,43.0,9.0,2.0,2.0,9.0,40.58,0.3793103448275862,1.0,3.0,0.0,7.0,SC0010
AEKQMJRJRAHOAP,Cc1[nH]cnc1C[C@H]1CCc2c(C)c3ccccc3n2C1=O,AEKQMJRJRAHOAP,LCSB,True,False,LCSB-DEV,[M+H]+,,O=C1[C@@H](Cc2c[nH]cn2)CCc2cc3ccccc3n21,O=C1C(Cc2c[nH]cn2)CCc2cc3ccccc3n21,True,294.1601,41.0,2.0,4.0,3.0,12.5,50.68,0.18181818181818182,3.0,1.0,0.0,0.0,SC0011
AEOCXXJPGCBFJA,CCC1=NC=CC(=C1)C(N)=S,AEOCXXJPGCBFJA,LCSB,True,False,LCSB-DEV,[M+H]+,,c1ccncc1,c1ccncc1,False,167.0637,21.0,2.0,1.0,1.0,5.0,38.91,0.2727272727272727,2.0,0.0,1.0,0.0,SC0012
