group_key,ce_numeric,mu,source
AABILZKQMVKFHP,30.0,0.6740848563580937,WUR
AABILZKQMVKFHP,45.0,0.3796401583812856,WUR
AABILZKQMVKFHP,60.0,0.30434480276562154,WUR
AABILZKQMVKFHP,75.0,0.2701246950904355,WUR
AABILZKQMVKFHP,90.0,0.2480162595261593,WUR
AAEVYOVXGOFMJO,30.0,0.8820236542841108,WUR
AAEVYOVXGOFMJO,45.0,0.7087847203502559,WUR
AAEVYOVXGOFMJO,60.0,0.5340909378014709,WUR
AAEVYOVXGOFMJO,75.0,0.40600380155920957,WUR
AAEVYOVXGOFMJO,90.0,0.32332027060770774,WUR
AAGFPTSOPGCENQ,30.0,0.9833070616425212,WUR
AAGFPTSOPGCENQ,45.0,0.9029867908485161,WUR
AAGFPTSOPGCENQ,60.0,0.6872332972520674,WUR
AAGFPTSOPGCENQ,75.0,0.524833450753679,WUR
AAGFPTSOPGCENQ,90.0,0.4377835727444026,WUR
AAVMGRPGPSSZBQ,30.0,0.7893826628247776,WUR
AAVMGRPGPSSZBQ,45.0,0.5183779673112329,WUR
AAVMGRPGPSSZBQ,60.0,0.3936800627864988,WUR
AAVMGRPGPSSZBQ,75.0,0.327397467353631,WUR
AAVMGRPGPSSZBQ,90.0,0.2903335536774422,WUR
ABOOPXYCKNFDNJ,30.0,0.8104914423262223,WUR
ABOOPXYCKNFDNJ,45.0,0.6118278184044292,WUR
ABOOPXYCKNFDNJ,60.0,0.4864924740353683,WUR
ABOOPXYCKNFDNJ,75.0,0.4515003195345546,WUR
ABOOPXYCKNFDNJ,90.0,0.4226778416114133,WUR
ACGPKIHTJATAMX,30.0,0.8544023070254766,WUR
ACGPKIHTJATAMX,45.0,0.5941414394028245,WUR
ACGPKIHTJATAMX,60.0,0.3444771692244423,WUR
ACGPKIHTJATAMX,75.0,0.2865640837404053,WUR
ACGPKIHTJATAMX,90.0,0.26508365939799117,WUR
ACMXQHFNODYQAT,30.0,0.5355597717564716,WUR
ACMXQHFNODYQAT,45.0,0.47493417979500363,WUR
ACMXQHFNODYQAT,60.0,0.4430535740046443,WUR
ACMXQHFNODYQAT,75.0,0.41823210082970597,WUR
ACMXQHFNODYQAT,90.0,0.39885796497872555,WUR
ACWBQPMHZXGDFX,30.0,0.5994288467239499,WUR
ACWBQPMHZXGDFX,45.0,0.5105964938342966,WUR
ACWBQPMHZXGDFX,60.0,0.46289954390775134,WUR
ACWBQPMHZXGDFX,75.0,0.4358606601144879,WUR
ACWBQPMHZXGDFX,90.0,0.4105422640261886,WUR
ADFIQZBYNGPCGY,30.0,0.5489223697233785,WUR
ADFIQZBYNGPCGY,45.0,0.4623306818597949,WUR
ADFIQZBYNGPCGY,60.0,0.4094312302729637,WUR
ADFIQZBYNGPCGY,75.0,0.37230952486551466,WUR
ADFIQZBYNGPCGY,90.0,0.3417435622043485,WUR
ADIMAYPTOBDMTL,30.0,0.9096172070918139,WUR
ADIMAYPTOBDMTL,45.0,0.789719748925383,WUR
ADIMAYPTOBDMTL,60.0,0.6535700264276653,WUR
ADIMAYPTOBDMTL,75.0,0.5262091268878586,WUR
ADIMAYPTOBDMTL,90.0,0.4700379191950029,WUR
ADWTYURAFSWNSU,30.0,0.7920105691188454,WUR
ADWTYURAFSWNSU,45.0,0.6278023590750224,WUR
ADWTYURAFSWNSU,60.0,0.5636376415092019,WUR
ADWTYURAFSWNSU,75.0,0.511426306452105,WUR
ADWTYURAFSWNSU,90.0,0.4600230772835857,WUR
AEHJMNVBLRLZKK,30.0,0.3022073709559332,WUR
AEHJMNVBLRLZKK,45.0,0.25332184189020546,WUR
