connectivity_key,smiles,adduct,scaffold_group,in_lcsb_dev,in_lcsb_sealed,side,n_source_rows,source_libraries
AABILZKQMVKFHP,CO[C@H](C)C(O)(C(=O)OCC1=CC[N+]2([O-])CC[C@H](OC(=O)\C(C)=C/C)[C@@H]12)C(C)(C)O,[M+H]+,C1=C[C@@H]2CCC[NH+]2C1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
AAEVYOVXGOFMJO,CSC1=NC(NC(C)C)=NC(NC(C)C)=N1,[M+H]+,c1ncncn1,True,True,WUR-SEALED,12,WFSR_food_safety;WUR
AAGFPTSOPGCENQ,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,[M+H]+,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AAVMGRPGPSSZBQ,C[C@@]1(O)[C@H](C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@@H]32)C(C)C,[M+H]+,O=C1CCCC(=O)O[C@@H]2CCN3CC=C(CO1)[C@H]23,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
ABOOPXYCKNFDNJ,CC(OC1=CC=C(OC2=CN=C3C=C(Cl)C=CC3=N2)C=C1)C(O)=O,[M+H]+,c1ccc(Oc2cnc3ccccc3n2)cc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
ACGPKIHTJATAMX,C[C@]1(O)C(=O)OCC2=CCN3CC[C@@H](OC(=O)[C@@]4(CO4)[C@H](C)[C@H]1C)[C@H]32,[M+H]+,O=C1CCC[C@]2(CO2)C(=O)O[C@@H]2CCN3CC=C(CO1)[C@H]23,False,False,WUR-DEV,12,WFSR_food_safety;WUR
ACMXQHFNODYQAT,FC1=C(F)C(\C(NC(=O)CC2=CC=CC=C2)=N\OCC2CC2)=C(C=C1)C(F)(F)F,[M+H]+,O=C(Cc1ccccc1)N/C(=N\OCC1CC1)c1ccccc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
ACWBQPMHZXGDFX,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)O)C(C)C,[M+H]+,c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,False,False,WUR-SEALED,12,ETE;WUR
ADFIQZBYNGPCGY,[H][C@@]12O[C@]3([H])C=C(C)C(=O)[C@@H](O)[C@]3(CO)[C@@](C)(C[C@H]1OC(C)=O)[C@]21CO1,[M+H]+,O=C1C=C[C@H]2O[C@@H]3CCC(C2C1)[C@]31CO1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
ADIMAYPTOBDMTL,OC1N=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C2NC1=O,[M+H]+,O=C1CN=C(c2ccccc2)c2ccccc2N1,True,True,WUR-SEALED,12,WFSR_food_safety;WUR
ADWTYURAFSWNSU,ClC1=CC=C(CN2CCNC2=O)C=N1,[M+H]+,O=C1NCCN1Cc1cccnc1,False,False,WUR-DEV,12,WFSR_food_safety;WUR
AEHJMNVBLRLZKK,FC(F)(F)C1=CN=C(OCCCOC2=C(Cl)C=C(OCC=C(Cl)Cl)C=C2Cl)C=C1,[M+H]+,c1ccc(OCCCOc2ccccn2)cc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
AFIIBUOYKYSPKB,CSC1=NC(NC(C)C)=NC(N=[N+]=[N-])=N1,[M+H]+,c1ncncn1,True,True,WUR-SEALED,12,WFSR_food_safety;WUR
AGOYDEPGAOXOCK,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,[M+H]+,O=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,False,False,WUR-DEV,12,ETE;WUR
AGTBLMHWQIEASU,COC1=C(C=C(C=C1)C1=CC=CC=C1)N=NC(=O)OC(C)C,[M+H]+,c1ccc(-c2ccccc2)cc1,False,False,WUR-SEALED,12,WFSR_food_safety;WUR
