partition,model,frac,seed,mean_n_train,P1,MRMSE,AF,seconds
PRIMARY,B1_MASS,0.25,0,246.0,0.14782282600888394,0.12850310401023637,0.17358490566037735,0.30930209159851074
PRIMARY,B1_MASS,0.25,1,257.0,0.15146683128544197,0.13226038035301993,0.1879245283018868,0.28586292266845703
PRIMARY,B1_MASS,0.25,2,258.4,0.1504028479450133,0.13188372213052488,0.18641509433962264,0.285815954208374
PRIMARY,B1_MASS,0.5,0,570.4,0.14643376642812048,0.12733857251697436,0.16679245283018868,0.3982210159301758
PRIMARY,B1_MASS,0.5,1,488.0,0.1469536261234998,0.1278230683852696,0.16905660377358492,0.3675651550292969
PRIMARY,B1_MASS,0.5,2,476.8,0.1531062982528843,0.13320718229088685,0.19622641509433963,0.3702261447906494
PRIMARY,B1_MASS,0.75,0,795.6,0.14683559233784746,0.1277811783246321,0.17433962264150943,0.5021860599517822
PRIMARY,B1_MASS,0.75,1,808.0,0.1454629676149371,0.1265793347245856,0.17132075471698113,0.509472131729126
PRIMARY,B1_MASS,0.75,2,794.4,0.14792269931677673,0.1289407172394722,0.1758490566037736,0.5054628849029541
PRIMARY,B1_MASS,1.0,0,1060.0,0.14636087900733388,0.12773243561372918,0.1728301886792453,0.5885529518127441
PRIMARY,TA_RIDGE,0.25,0,246.0,0.13505375602166084,0.1174185015218363,0.11547169811320755,0.11812567710876465
PRIMARY,TA_RIDGE,0.25,1,257.0,0.13400688189107884,0.11694160876329278,0.10641509433962264,0.11876392364501953
PRIMARY,TA_RIDGE,0.25,2,258.4,0.13928147247484873,0.12127640385369431,0.12679245283018867,0.11863303184509277
PRIMARY,TA_RIDGE,0.5,0,570.4,0.1326447724009474,0.11643994569631928,0.10641509433962264,0.13170909881591797
PRIMARY,TA_RIDGE,0.5,1,488.0,0.13013461062588216,0.1137768185208401,0.10566037735849057,0.13208508491516113
PRIMARY,TA_RIDGE,0.5,2,476.8,0.13546131333908282,0.11806165457709471,0.12075471698113208,0.13180112838745117
PRIMARY,TA_RIDGE,0.75,0,795.6,0.13057688869844009,0.11468652979963152,0.09886792452830188,0.1454329490661621
PRIMARY,TA_RIDGE,0.75,1,808.0,0.12990869549961953,0.11419022711487484,0.10490566037735849,0.14882302284240723
PRIMARY,TA_RIDGE,0.75,2,794.4,0.13283171009590708,0.11636183856584724,0.10566037735849057,0.14669108390808105
PRIMARY,TA_RIDGE,1.0,0,1060.0,0.13054598985817814,0.11479560535306262,0.10264150943396226,0.14487576484680176
PRIMARY,MORGAN_RIDGE,0.25,0,246.0,0.14083192194625085,0.12044900843631579,0.13056603773584904,0.700408935546875
PRIMARY,MORGAN_RIDGE,0.25,1,257.0,0.13748042322741835,0.11954161869814574,0.13132075471698113,0.7511990070343018
PRIMARY,MORGAN_RIDGE,0.25,2,258.4,0.13758185553328175,0.1176531796401857,0.13132075471698113,0.7209348678588867
PRIMARY,MORGAN_RIDGE,0.5,0,570.4,0.12514509688616268,0.10832149567697849,0.09358490566037736,1.4617500305175781
PRIMARY,MORGAN_RIDGE,0.5,1,488.0,0.12996184133141958,0.1109372740571134,0.11245283018867924,1.2613389492034912
PRIMARY,MORGAN_RIDGE,0.5,2,476.8,0.1313634971112893,0.112699376014759,0.11547169811320755,1.2091519832611084
PRIMARY,MORGAN_RIDGE,0.75,0,795.6,0.12613978262753395,0.10830088406304032,0.09660377358490566,2.308917999267578
PRIMARY,MORGAN_RIDGE,0.75,1,808.0,0.12527975429232427,0.10786000918983955,0.10264150943396226,2.2988779544830322
PRIMARY,MORGAN_RIDGE,0.75,2,794.4,0.12490219070320388,0.108450419633271,0.08377358490566038,2.255337953567505
PRIMARY,MORGAN_RIDGE,1.0,0,1060.0,0.12390944129063122,0.10680715778239709,0.08981132075471698,3.2479169368743896
STRICT,B1_MASS,0.25,0,264.2,0.15232519237253603,0.1324557561762171,0.18867924528301888,0.2865569591522217
STRICT,B1_MASS,0.25,1,253.4,0.1579217358591374,0.137800626208388,0.2090566037735849,0.2754800319671631
STRICT,B1_MASS,0.25,2,207.2,0.1585654684747472,0.1380109612249018,0.22490566037735849,0.27073001861572266
STRICT,B1_MASS,0.5,0,571.4,0.15118975690589492,0.13199224243449886,0.18641509433962264,0.40239715576171875
STRICT,B1_MASS,0.5,1,509.2,0.15175756967121173,0.13226862187980903,0.19622641509433963,0.3764162063598633
STRICT,B1_MASS,0.5,2,568.4,0.14715994932885446,0.1279451235982566,0.17433962264150943,0.39943504333496094
STRICT,B1_MASS,0.75,0,784.8,0.1497619103977163,0.13075120410188606,0.1758490566037736,0.49277591705322266
STRICT,B1_MASS,0.75,1,808.0,0.14882409497250995,0.12918465149259786,0.17735849056603772,0.5073096752166748
STRICT,B1_MASS,0.75,2,786.6,0.14770703093040724,0.12847980073542475,0.1750943396226415,0.48697781562805176
STRICT,B1_MASS,1.0,0,1060.0,0.14828178025907998,0.1290066399025397,0.1750943396226415,0.5906939506530762
STRICT,TA_RIDGE,0.25,0,264.2,0.13716645804210506,0.11887869607551164,0.13584905660377358,0.11437606811523438
STRICT,TA_RIDGE,0.25,1,253.4,0.13642513404233514,0.11925518823245393,0.12452830188679245,0.11190128326416016
STRICT,TA_RIDGE,0.25,2,207.2,0.14170529114279148,0.1237916833512056,0.1479245283018868,0.11353087425231934
STRICT,TA_RIDGE,0.5,0,571.4,0.13601127144424371,0.11928584072104453,0.1169811320754717,0.1305379867553711
STRICT,TA_RIDGE,0.5,1,509.2,0.13587040232906789,0.1188164204541797,0.11396226415094339,0.13135123252868652
STRICT,TA_RIDGE,0.5,2,568.4,0.13496282997744857,0.11804296995443296,0.11924528301886793,0.13647890090942383
STRICT,TA_RIDGE,0.75,0,784.8,0.1343864013172065,0.11820145301812043,0.10415094339622641,0.14512920379638672
STRICT,TA_RIDGE,0.75,1,808.0,0.13341827275537102,0.11700765510476746,0.11018867924528301,0.13857316970825195
STRICT,TA_RIDGE,0.75,2,786.6,0.13363295459258986,0.1169376108386816,0.11169811320754718,0.14115190505981445
STRICT,TA_RIDGE,1.0,0,1060.0,0.13268637788545154,0.11662125775085705,0.10943396226415095,0.1465768814086914
STRICT,MORGAN_RIDGE,0.25,0,264.2,0.1379710590439376,0.11988186548926384,0.12,0.77618408203125
STRICT,MORGAN_RIDGE,0.25,1,253.4,0.14493795417984023,0.12544079502211175,0.15169811320754717,0.7522821426391602
STRICT,MORGAN_RIDGE,0.25,2,207.2,0.1398615312748956,0.12086497511663383,0.14566037735849058,0.6849448680877686
STRICT,MORGAN_RIDGE,0.5,0,571.4,0.1313606822137663,0.11390333500781345,0.10037735849056603,1.4868347644805908
STRICT,MORGAN_RIDGE,0.5,1,509.2,0.1365710976895567,0.11788801174352222,0.12,1.2661170959472656
STRICT,MORGAN_RIDGE,0.5,2,568.4,0.13324342271187745,0.11628616372836979,0.10943396226415095,1.4941551685333252
STRICT,MORGAN_RIDGE,0.75,0,784.8,0.13140428063949475,0.11424793441939944,0.10339622641509434,2.126185894012451
STRICT,MORGAN_RIDGE,0.75,1,808.0,0.12955648006112574,0.1128670955590568,0.09433962264150944,2.1593551635742188
STRICT,MORGAN_RIDGE,0.75,2,786.6,0.13065735653306215,0.11405739333505217,0.09660377358490566,2.099576950073242
STRICT,MORGAN_RIDGE,1.0,0,1060.0,0.13047429882860298,0.1136762390845689,0.09584905660377359,3.277740955352783
RANDOM,B1_MASS,0.25,0,265.0,0.14796202872301228,0.128551172069515,0.1750943396226415,0.2833991050720215
RANDOM,B1_MASS,0.25,1,265.0,0.14604482181329081,0.12687515421838264,0.16830188679245284,0.28043198585510254
RANDOM,B1_MASS,0.25,2,265.0,0.14737098913607738,0.1287328643585047,0.16905660377358492,0.2830626964569092
RANDOM,B1_MASS,0.5,0,530.0,0.14605103306019335,0.12734859366986462,0.16754716981132076,0.39176297187805176
RANDOM,B1_MASS,0.5,1,530.0,0.1458825706997236,0.12740405651210363,0.17132075471698113,0.3930017948150635
RANDOM,B1_MASS,0.5,2,530.0,0.14708875881964073,0.12784093155079873,0.1781132075471698,0.3916771411895752
RANDOM,B1_MASS,0.75,0,795.0,0.14603839257448725,0.1275830572522856,0.1660377358490566,0.5045340061187744
RANDOM,B1_MASS,0.75,1,795.0,0.1448728791497084,0.1263336079944541,0.1630188679245283,0.49793386459350586
RANDOM,B1_MASS,0.75,2,795.0,0.14480935206541637,0.1258840092096044,0.16226415094339622,0.4949309825897217
