partition,model,frac,P1_mean,P1_sd,n_train,AF
PRIMARY,B1_MASS,0.25,0.14989750174644642,0.0018738262190502713,253.79999999999998,0.18264150943396226
PRIMARY,B1_MASS,0.5,0.1488312302681682,0.0037114307525775627,511.73333333333335,0.17735849056603772
PRIMARY,B1_MASS,0.75,0.14674041975652044,0.0012326245886059872,799.3333333333334,0.17383647798742138
PRIMARY,B1_MASS,1.0,0.14636087900733388,,1060.0,0.1728301886792453
PRIMARY,MORGAN_RIDGE,0.25,0.13863140023565032,0.0019063824320650921,253.79999999999998,0.13106918238993712
PRIMARY,MORGAN_RIDGE,0.5,0.1288234784429572,0.0032617522728335905,511.73333333333335,0.10716981132075472
PRIMARY,MORGAN_RIDGE,0.75,0.12544057587435403,0.0006342760666513097,799.3333333333334,0.09433962264150943
PRIMARY,MORGAN_RIDGE,1.0,0.12390944129063122,,1060.0,0.08981132075471698
PRIMARY,TA_RIDGE,0.25,0.1361140367958628,0.0027925746089773862,253.79999999999998,0.11622641509433962
PRIMARY,TA_RIDGE,0.5,0.13274689878863746,0.002664819468181994,511.73333333333335,0.1109433962264151
PRIMARY,TA_RIDGE,0.75,0.13110576476465555,0.0015315959005524837,799.3333333333334,0.1031446540880503
PRIMARY,TA_RIDGE,1.0,0.13054598985817814,,1060.0,0.10264150943396226
RANDOM,B1_MASS,0.25,0.14712594655746017,0.0009818120913252532,265.0,0.1708176100628931
RANDOM,B1_MASS,0.5,0.14634078752651922,0.0006532156483307453,530.0,0.17232704402515722
RANDOM,B1_MASS,0.75,0.14524020792987066,0.0006919775775167285,795.0,0.16377358490566038
RANDOM,B1_MASS,1.0,0.1446384065241205,,1060.0,0.16075471698113208
RANDOM,MORGAN_RIDGE,0.25,0.12795503728488697,0.0025180784740562495,265.0,0.09610062893081761
RANDOM,MORGAN_RIDGE,0.5,0.12291473782253541,0.001837367693653534,530.0,0.08150943396226415
RANDOM,MORGAN_RIDGE,0.75,0.11731015545547356,0.0005692186583909062,795.0,0.0709433962264151
RANDOM,MORGAN_RIDGE,1.0,0.11616302066478375,,1060.0,0.0649056603773585
RANDOM,TA_RIDGE,0.25,0.13408802528173128,0.001917345013778981,265.0,0.11823899371069181
RANDOM,TA_RIDGE,0.5,0.13182187608324028,0.0006991232691011443,530.0,0.10540880503144655
RANDOM,TA_RIDGE,0.75,0.13064855029196493,0.0004227627291013729,795.0,0.09685534591194968
RANDOM,TA_RIDGE,1.0,0.13061029545754754,,1060.0,0.09584905660377359
STRICT,B1_MASS,0.25,0.1562707989021402,0.003432121222355256,241.6,0.20754716981132074
STRICT,B1_MASS,0.5,0.15003575863532037,0.002506653587849976,549.6666666666666,0.18566037735849059
STRICT,B1_MASS,0.75,0.1487643454335445,0.001028741907305737,793.1333333333333,0.1761006289308176
STRICT,B1_MASS,1.0,0.14828178025907998,,1060.0,0.1750943396226415
STRICT,MORGAN_RIDGE,0.25,0.14092351483289114,0.0036028133127815024,241.6,0.13911949685534591
STRICT,MORGAN_RIDGE,0.5,0.13372506753840016,0.0026383884592258437,549.6666666666666,0.10993710691823899
STRICT,MORGAN_RIDGE,0.75,0.13053937241122757,0.0009295331807466615,793.1333333333333,0.0981132075471698
STRICT,MORGAN_RIDGE,1.0,0.13047429882860298,,1060.0,0.09584905660377359
STRICT,TA_RIDGE,0.25,0.13843229440907723,0.0028586309716955214,241.6,0.13610062893081762
STRICT,TA_RIDGE,0.5,0.13561483458358672,0.0005690285860320509,549.6666666666666,0.11672955974842768
STRICT,TA_RIDGE,0.75,0.13381254288838915,0.0005084360284750385,793.1333333333333,0.10867924528301887
STRICT,TA_RIDGE,1.0,0.13268637788545154,,1060.0,0.10943396226415095
