group_key,dist_1_minus_maxsim,leverage,mahalanobis,disagreement,sensitivity,domain_flag,pred_log_rmse,p_af,fold,thr_learned_q80,thr_learned_q90,thr_dist_q80,thr_dist_q90,rmse,af
AABILZKQMVKFHP,0.7350427350427351,0.006403195355483161,2.6034861842460444,0.09070598379352157,0.24301419276287411,0.0,-2.2442289046255834,0.08820456421734238,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.09742833320426621,0
AAEVYOVXGOFMJO,0.7407407407407407,0.010461925546822855,3.3282900933795054,0.04844810092815699,0.2914989334357561,0.0,-2.2731308287208845,0.07392149887807964,1,-2.2472181738290433,-2.2121481354605383,0.6829268292682926,0.726423157555233,0.08882142910941647,0
AAGFPTSOPGCENQ,0.4117647058823529,0.009857503008396858,3.2300038306406376,0.06094361873410181,0.32802902725820365,0.0,-2.317069203453305,0.06099683307450576,3,-2.236735335430558,-2.2041722246106135,0.6889262371615312,0.7325581395348837,0.10116513625741767,0
AAVMGRPGPSSZBQ,0.3294117647058824,0.0058989002948012055,2.499054618728433,0.021014150479551408,0.2530016359564548,0.0,-2.270333353790332,0.04982277011879835,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.07544698726604332,0
ABOOPXYCKNFDNJ,0.47126436781609193,0.0047484276546364695,2.2420615935154378,0.13829480760146473,0.3134615791204884,0.0,-2.3237018283702393,0.05570570077585641,1,-2.2472181738290433,-2.2121481354605383,0.6829268292682926,0.726423157555233,0.039099370097430815,0
ACGPKIHTJATAMX,0.31645569620253167,0.007480071030356856,2.813728762137735,0.004577519387478524,0.3797431213157948,0.0,-2.246118929592324,0.07176942420857639,1,-2.2472181738290433,-2.2121481354605383,0.6829268292682926,0.726423157555233,0.10994217066140849,0
ACMXQHFNODYQAT,0.5533980582524272,0.015660380277653225,4.07034313366915,0.6245080708233548,0.20736768178822426,0.0,-2.588332705417771,0.04244187226677023,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.09708034955344944,0
ACWBQPMHZXGDFX,0.5161290322580645,0.010032692358987632,3.2592118079719103,0.09655867605053592,0.2605377164613058,0.0,-2.358581615485034,0.06427038384384569,2,-2.255809907312056,-2.227921869641568,0.6942607897153352,0.7360111111111111,0.08903172179953395,0
ADFIQZBYNGPCGY,0.7431192660550459,0.009485422850080801,3.168950373241776,0.006710547109902487,0.33304643018657626,0.0,-2.1481217160188124,0.1099189727131204,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.11692670176664456,0
ADIMAYPTOBDMTL,0.41666666666666663,0.0028097087913027774,1.724212699931703,0.0046491205622903875,0.47273318158905947,0.0,-2.137709370594297,0.05769728983045127,4,-2.191503734640944,-2.163479478078397,0.691886195995785,0.7349397590361446,0.06691333723519219,0
