key,collection,position,smiles,mh,R1_single_position_all_energies,R3_no_isolation_conflict,R2_ms2_all_energies,R4_window_and_ce,R5_mass_range,R6_features,R7_neutral_scaffold_new,scaffold_group,in_step10,in_step8,in_v2_five_rung,VALIDATION,ANCHOR,SECONDARY
JRNJNYBQQYBCLE,NEXUS,_Q2_pos_D1_,COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N,442.135507592,True,True,True,True,True,True,True,O=C(c1ccccc1)c1cnc(NC2CCNCC2)nc1,True,True,False,True,False,False
GNFMIIWVXDLWDU,NEXUS,_Q2_pos_C10_,C/C=C1\CN2CCC34c5ccccc5NC3C(CO)[C@H]1CC24,297.19613938799995,True,True,True,True,True,True,True,C=C1CN2CCC34c5ccccc5NC3CC1CC24,True,True,False,True,False,False
PFTAWBLQPZVEMU,NEXUS,_Q3_pos_C1_,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@H](O)C2,291.086314168,False,True,False,False,True,True,True,c1ccc(C2CCc3ccccc3O2)cc1,True,True,False,False,False,False
WMBWREPUVVBILR,NEXUS,_Q3_pos_G1_,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,459.0921873959999,False,True,False,False,True,True,True,O=C(OC1Cc2ccccc2OC1c1ccccc1)c1ccccc1,False,False,False,False,False,False
KTEXNACQROZXEV,NEXUS,_Q2_pos_D1_,C=C1C(=O)O[C@H]2[C@H]1CC/C(C)=C\CC[C@@]1(C)O[C@@H]21,249.1485205,True,True,False,False,True,True,True,C=C1C(=O)OC2C1CCC=CCCC1OC12,True,True,False,False,False,False
GDOFNNVIOAJROQ,NEXUS,_Q4_pos_H7_,Cc1ccccc1Cn1cc(NC(=S)N2CCc3ccccc3C2)cn1,363.163793704,True,False,True,True,True,True,True,S=C(Nc1cnn(Cc2ccccc2)c1)N1CCc2ccccc2C1,True,True,False,False,False,False
PFTAWBLQPZVEMU,NEXUS,_Q1_pos_H1_,Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)C2,291.086314168,False,True,False,False,True,True,True,c1ccc(C2CCc3ccccc3O2)cc1,True,True,False,False,False,False
QHGUCRYDKWKLMG,NEXUS,_Q1_pos_F4_,NCC(O)c1ccc(O)cc1,154.086254592,True,True,False,False,True,True,False,c1ccccc1,False,True,False,False,False,False
ZBJDHQSCZOIQIX,NEXUS,_Q3_pos_C8_,Cn1c(C(=O)NCCOc2ccccc2Cl)cc(=O)n(C)c1=O,338.09020967199996,False,True,False,False,True,True,True,O=C(NCCOc1ccccc1)c1cc(=O)[nH]c(=O)[nH]1,False,False,False,False,False,False
PJCKBNVXZFTIME,NEXUS,_Q1_pos_H10_,C/C=C1\C[N+]2(C)CCC34c5cccc(O)c5NC3C(C=O)[C@H]1CC42,326.19833046009,True,True,False,False,True,True,True,C=C1C[NH+]2CCC34c5ccccc5NC3CC1CC24,True,True,False,False,False,False
IPBVRFAPNWZMGD,NEXUS,_Q1_pos_A11_,C/C=C1\C[N+]2(CC)CCC34C(=C(C=O)[C@H]1CC32)Nc1ccccc14,322.20341584009003,True,True,False,False,True,True,True,C=C1C[NH+]2CCC34C(=CC1CC23)Nc1ccccc14,True,True,False,False,False,False
KUJXAJMABXMSCW,NEXUS,_Q4_pos_F5_,CO[C@@H]1CC2C3CC=C4CC(O[Si](C)(C)C(C)(C)C)CCC4(C)C3CCC2(C)C1C(C)=O,461.34454792599996,True,True,False,False,True,True,True,C1=C2CCCCC2C2CCC3CCCC3C2C1,True,True,False,False,False,False
XXTVWAHGGFLWMY,NEXUS,_Q1_pos_D9_,O=C1C2OCC(O2)[C@H]2C(C(=O)C34CC5CC(CC(C5)C3)C4)N3c4ccccc4C=C[C@@H]3[C@@H]12,432.21693440800004,True,False,False,False,True,True,True,O=C1C2OCC(O2)C2C1C1C=Cc3ccccc3N1C2C(=O)C12CC3CC(CC(C3)C1)C2,True,True,False,False,False,False
NOZZTXUAPWQXFG,NEXUS,_Q4_pos_H8_,COc1ccc(C(=O)C2[C@@H]3C4COC(O4)C(=O)[C@@H]3[C@H]3C=Cc4ccccc4N23)cc1OC,434.15981345600005,False,True,False,False,True,True,True,O=C1C2OCC(O2)C2C1C1C=Cc3ccccc3N1C2C(=O)c1ccccc1,False,False,False,False,False,False
HDEDWNHZBWFQCB,NEXUS,_P5_pos_H2_,CC(=O)O[C@]1(C(=O)CO)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@@]21C,405.227164744,True,True,True,True,True,True,False,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,True,False,False,False,True
DREFYWNZLFMCLU,NEXUS,_Q4_pos_C12_,CCCCn1c(=O)c(C(=O)Nc2nccs2)c(O)c2ccccc21,344.10633840400004,True,True,False,False,True,True,True,O=C(Nc1nccs1)c1cc2ccccc2[nH]c1=O,True,True,False,False,False,False
OSTYNJWCELHMRP,NEXUS,_P5_pos_E6_,CCCCn1c(=O)c(C(=O)Nc2ccccc2)c(O)c2ccccc21,337.1546685,True,True,False,False,True,True,True,O=C(Nc1ccccc1)c1cc2ccccc2[nH]c1=O,True,True,False,False,False,False
JCUUFOJYTJIZBH,NEXUS,_P5_pos_F4_,CCOc1ccc(/C=N/OC(=O)/C=C\c2ccccc2)cc1,296.128119404,True,True,False,False,True,True,True,O=C(C=Cc1ccccc1)ON=Cc1ccccc1,True,True,False,False,False,False
RLJALOQFYHCJKG,NEXUS,_Q4_pos_A10_,O=C(/C=C/C=C/c1ccccc1)/C=C/C=C/c1ccccc1,287.143041196,True,True,False,False,True,True,True,O=C(C=CC=Cc1ccccc1)C=CC=Cc1ccccc1,True,True,False,False,False,False
KSZJPQHIPKEEMF,NEXUS,_Q1_pos_F9_,COc1ccc(/C=C/C(=O)/C=C/c2ccc(OC)cc2OC)c(OC)c1,355.15399980399997,True,True,True,True,True,True,True,O=C(C=Cc1ccccc1)C=Cc1ccccc1,True,True,False,True,False,False
OGLCQHRZUSEXNB,NEXUS,_Q1_pos_C12_,O=C1O[C@@H]2[C@@H](O)[C@H](O)O[C@@H]2[C@H]1O,177.039363976,True,True,False,False,True,True,True,O=C1CC2OCCC2O1,True,True,False,False,False,False
BFPYWIDHMRZLRN,NEXUS,_Q2_pos_D11_,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,297.184906008,False,True,False,False,True,True,False,c1ccc2c(c1)CCC1C2CCC2CCCC21,False,True,False,False,False,False
IMONTRJLAWHYGT,NEXUS,_Q4_pos_H9_,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C,341.21112075599996,True,True,True,True,True,True,False,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,True,False,False,False,True
BBMVGSYEECJAAE,NEXUS,_P5_pos_D1_,COc1cc2c3cc1Oc1cc(ccc1O)C[C@H]1c4cc(c(OC)cc4CCN1C)Oc1cc(ccc1O)C[C@@H]3N(C)CC2,595.280262936,True,True,False,False,True,True,True,c1cc2cc(c1)Oc1ccc3c(c1)C(Cc1cccc(c1)Oc1ccc4c(c1)C(C2)NCC4)NCC3,True,True,False,False,False,False
VYZPGMGWYUEREY,NEXUS,_P5_pos_B5_,CC(=O)O[C@@H]1CC[C@@]2(C)[C@H](CC[C@@H]3[C@@H]2C[C@H](OC(C)=O)[C@]2(C)[C@@H](C(C)=O)CC[C@@H]32)C1,419.27920031599996,False,False,False,False,True,True,True,C1CCC2C(C1)CCC1C3CCCC3CCC21,False,False,False,False,False,False
IPPSBXJDMFQYLG,NEXUS,_Q4_pos_A8_,COc1ccc(C(=O)C2[C@H]3C4COC(O4)C(=O)[C@H]3[C@@H]3c4ccccc4C=CN23)cc1OC,434.15981345600005,True,True,False,False,True,True,True,O=C1C2OCC(O2)C2C1C1c3ccccc3C=CN1C2C(=O)c1ccccc1,True,True,False,False,False,False
BWEZJYRDDFXJQK,NEXUS,_Q4_pos_E8_,COc1ccc(C(=O)C2[C@H]3C4COC(O4)C(=O)[C@H]3[C@@H]3c4ccccc4C=CN23)cc1,404.1492487720001,True,True,False,False,True,True,True,O=C1C2OCC(O2)C2C1C1c3ccccc3C=CN1C2C(=O)c1ccccc1,True,True,False,False,False,False
FEBLZLNTKCEFIT,NEXUS,_Q2_pos_C6_,CC1(C)OC2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=CC5(C)[C@@]4(F)C(O)CC3(C)C2(C(=O)CO)O1,453.2083211199999,False,True,False,False,True,True,False,O=C1C=CC2C(=C1)CCC1C2CCC2C1CC1OCOC12,False,False,False,False,False,False
CRYWRILZWVNKGC,NEXUS,_Q2_pos_F8_,COc1cc(OC)cc([C@@H]2[C@@H](C(C)=O)N3c4ccccc4C=C[C@@H]3C2(C#N)C#N)c1,400.16556753200007,False,False,False,False,True,True,True,C1=CC2CC(c3ccccc3)CN2c2ccccc21,False,False,False,False,False,False
DSGVPNDPCXMTBI,NEXUS,_Q1_pos_D9_,COc1cc(OC)cc([C@@H]2[C@@H](C(=O)C(C)(C)C)N3c4ccccc4C=C[C@@H]3C2(C#N)C#N)c1,442.21251772400007,True,True,False,False,True,True,True,C1=CC2CC(c3ccccc3)CN2c2ccccc21,True,True,False,False,False,False
AQERSWBBCICMMF,NEXUS,_Q2_pos_E11_,C[C@@H]1C=CC[C@H]2[C@@H]1C(=O)[C@@H]1OC[C@H]2O1,195.101570308,True,True,False,False,True,True,True,O=C1C2OCC(O2)C2CC=CCC12,True,True,False,False,False,False
NYJWXZCVBOZRFZ,NEXUS,_Q4_pos_G6_,C=CC[C@H]1Cc2c(Br)cc(Br)c(Br)c2[C@H](CC=C)N1,447.890561812,True,True,False,False,True,True,True,c1ccc2c(c1)CCNC2,True,True,False,False,False,False
GZENKSODFLBBHQ,NEXUS,_Q4_pos_D11_,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,345.24242088399996,False,True,False,False,True,True,False,O=C1C=C2CCC3C4CCCC4CCC3C2CC1,False,True,False,False,False,False
TVVKUZNLZOBCLR,NEXUS,_Q2_pos_A11_,O=C(NCCc1c[nH]c2ccccc12)C1CC1(c1ccccc1)c1ccccc1,381.19613938799995,True,True,True,True,True,True,True,O=C(NCCc1c[nH]c2ccccc12)C1CC1(c1ccccc1)c1ccccc1,True,True,False,True,False,False
FCSGXJKHYFRMBC,NEXUS,_Q3_pos_D7_,Cc1[nH]c2ccc(OC(F)(F)F)cc2c1CCNC(=O)c1cccc(F)c1F,399.11264481999996,False,True,False,False,True,True,True,O=C(NCCc1c[nH]c2ccccc12)c1ccccc1,False,False,False,False,False,False
FHUICSFKWZVPSM,NEXUS,_Q1_pos_D7_,Cc1[nH]c2ccc(CN)cc2c1C,175.12297444799998,True,True,False,False,True,True,False,c1ccc2[nH]ccc2c1,False,True,False,False,False,False
VFJAYHOMYNXHIW,NEXUS,_Q4_pos_B12_,Cc1[nH]c2ccccc2c1CCNC(=O)c1ccc(Cl)cc1Cl,347.071244492,True,True,True,True,True,True,True,O=C(NCCc1c[nH]c2ccccc12)c1ccccc1,True,True,False,True,False,False
IVTFMZAPBSUOLL,NEXUS,_Q4_pos_A7_,COc1ccc(Nc2nc(N3CCN(c4nc(-c5ccc(F)cc5)cs4)CC3)nc3ccccc23)c(OC)c1,543.197299324,False,True,False,False,True,True,True,c1ccc(Nc2nc(N3CCN(c4nc(-c5ccccc5)cs4)CC3)nc3ccccc23)cc1,False,False,False,False,False,False
