key,library,unique_sample_id,smiles,mh,fn,path,collection
UFNOUKDBUJZYDE,MCEBIO,pluskal_mce_1D1_A10_id,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,292.121115876,20220613_100AGC_60000Res_pluskal_mce_1D1_A10_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_A10_id.mzML,20220601_mzml_mce_bioactive_positive.zip
NHDHVHZZCFYRSB,MCEBIO,pluskal_mce_1D1_B2_id,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,322.143769468,20220613_100AGC_60000Res_pluskal_mce_1D1_B2_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_B2_id.mzML,20220601_mzml_mce_bioactive_positive.zip
YOSHYTLCDANDAN,MCEBIO,pluskal_mce_1D1_B3_id,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2n[nH]nn2)cc1,429.23973551600005,20220613_100AGC_60000Res_pluskal_mce_1D1_B3_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_B3_id.mzML,20220601_mzml_mce_bioactive_positive.zip
UURAUHCOJAIIRQ,MCEBIO,pluskal_mce_1D1_B3_id,C=C[C@]1(C)C[C@@H](OC(=O)CSCCN(CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O,494.32985598399995,20220613_100AGC_60000Res_pluskal_mce_1D1_B3_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_B3_id.mzML,20220601_mzml_mce_bioactive_positive.zip
LUZRJRNZXALNLM,MCEBIO,pluskal_mce_1D1_B3_id,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3c4c(c[nH]c4ccc3)C[C@H]21,584.2867452840002,20220613_100AGC_60000Res_pluskal_mce_1D1_B3_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_B3_id.mzML,20220601_mzml_mce_bioactive_positive.zip
WXZVAROIGSFCFJ,MCEBIO,pluskal_mce_1D1_B3_id,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,272.164504912,20220613_100AGC_60000Res_pluskal_mce_1D1_B3_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_B3_id.mzML,20220601_mzml_mce_bioactive_positive.zip
DBXFMOWZRXXBRN,MCEBIO,pluskal_mce_1D1_B10_id,COC(=O)CC(NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)c1ccc(Cl)cc1,399.168125644,20220613_100AGC_60000Res_pluskal_mce_1D1_B10_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_B10_id.mzML,20220601_mzml_mce_bioactive_positive.zip
LMEKQMALGUDUQG,MCEBIO,pluskal_mce_1D1_B12_id,Cn1cnc([N+](=O)[O-])c1Sc1c2[nH]cnc2ncn1,278.045469464,20220613_100AGC_60000Res_pluskal_mce_1D1_B12_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_B12_id.mzML,20220601_mzml_mce_bioactive_positive.zip
GFNANZIMVAIWHM,MCEBIO,pluskal_mce_1D1_B12_id,C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@]12F,395.18644280399997,20220613_100AGC_60000Res_pluskal_mce_1D1_B12_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_B12_id.mzML,20220601_mzml_mce_bioactive_positive.zip
DBXFMOWZRXXBRN,MCEBIO,pluskal_mce_1D1_B13_id,COC(=O)C[C@H](NC(=O)[C@@H](NC(=O)OC(C)C)C(C)C)c1ccc(Cl)cc1,399.168125644,20220613_100AGC_60000Res_pluskal_mce_1D1_B13_id.mzML,20220601_mzml_mce_bioactive_positive.zip!20220613_100AGC_60000Res_pluskal_mce_1D1_B13_id.mzML,20220601_mzml_mce_bioactive_positive.zip
