file,spectrum_id,selected_ion_mz,matched_validation_key,delta_mz,scaffold_group
20220613_100AGC_60000Res_pluskal_mce_1D1_A10_id.mzML,controllerType=0 controllerNumber=1 scan=307,613.177856445313,MURAVORBGFDSMA,5.8606687048268213e-05,O=C(Nc1ccccc1)C1NCC2(C(=O)Nc3ccccc32)C1c1ccccc1
20220613_100AGC_60000Res_pluskal_mce_1D1_A10_id.mzML,controllerType=0 controllerNumber=1 scan=309,613.177856445313,MURAVORBGFDSMA,5.8606687048268213e-05,O=C(Nc1ccccc1)C1NCC2(C(=O)Nc3ccccc32)C1c1ccccc1
20220613_100AGC_60000Res_pluskal_mce_1D1_B12_id.mzML,controllerType=0 controllerNumber=1 scan=184,338.141540527344,UVMSJTHWDBDAMN,0.008238427343940202,O=S(=O)(Cc1ccccc1)N1CCCC(c2cc[nH]n2)C1
20220613_100AGC_60000Res_pluskal_mce_1D1_B12_id.mzML,controllerType=0 controllerNumber=1 scan=207,338.141540527344,UVMSJTHWDBDAMN,0.008238427343940202,O=S(=O)(Cc1ccccc1)N1CCCC(c2cc[nH]n2)C1
20220613_100AGC_60000Res_pluskal_mce_1D1_B13_id.mzML,controllerType=0 controllerNumber=1 scan=186,355.223510742188,LKXPLOHGQSEPEM,0.000574709811928642,c1ccc(CNc2ncnc3[nH]cnc23)cc1
20220613_100AGC_60000Res_pluskal_mce_1D1_B13_id.mzML,controllerType=0 controllerNumber=1 scan=188,355.223510742188,LKXPLOHGQSEPEM,0.000574709811928642,c1ccc(CNc2ncnc3[nH]cnc23)cc1
20220613_100AGC_60000Res_pluskal_mce_1D1_B24_id.mzML,controllerType=0 controllerNumber=1 scan=161,518.163330078125,GTDJOGZANHPKMR,0.009786145875068541,O=C(c1ccccc1)N1CCN(c2ccccc2)CC1
20220613_100AGC_60000Res_pluskal_mce_1D1_B24_id.mzML,controllerType=0 controllerNumber=1 scan=163,518.163330078125,GTDJOGZANHPKMR,0.009786145875068541,O=C(c1ccccc1)N1CCN(c2ccccc2)CC1
20220613_100AGC_60000Res_pluskal_mce_1D1_B24_id.mzML,controllerType=0 controllerNumber=1 scan=191,380.151458740234,RPRRGHLIBZCHDT,0.00027029576602899397,O=C(c1cccnc1)N1CCN(c2cc(-c3ccccc3)ncn2)CC1
20220613_100AGC_60000Res_pluskal_mce_1D1_B24_id.mzML,controllerType=0 controllerNumber=1 scan=193,380.151458740234,RPRRGHLIBZCHDT,0.00027029576602899397,O=C(c1cccnc1)N1CCN(c2cc(-c3ccccc3)ncn2)CC1
