key,smiles,mh,scaffold_group
UPKNGUQNXSMHBE,O=C(Nc1ccccc1)c1ccc(Nc2nnc(-c3ccc(O)cc3)c3ccccc23)cc1,433.16590188,O=C(Nc1ccccc1)c1ccc(Nc2nnc(-c3ccccc3)c3ccccc23)cc1
KGWSQGUVJUGIPF,C=CS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,414.1594365960001,c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1
MURAVORBGFDSMA,COc1c(NC(=O)[C@@H]2N[C@@H](CC(C)(C)C)[C@@]3(C(=O)Nc4c3ccc(Cl)c4)[C@H]2c2c(F)c(Cl)ccc2)ccc(C(N)=O)c1,613.177915052,O=C(Nc1ccccc1)C1NCC2(C(=O)Nc3ccccc32)C1c1ccccc1
JCKGSPAAPQRPBW,O=C([C@@H](Cc1cc(C(F)(F)F)ccc1)NS(=O)(=O)c1cc2c(CNCC2)c(F)c1)N1CCCC1,500.16255154000004,O=C(C(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)CCNC2)N1CCCC1
JFIWEPHGRUDAJN,C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@@H]1O,268.092796516,O=c1ncccn1C1CCCO1
RZIDZIGAXXNODG,NC1(Cc2ccc(Cl)cc2)CCN(c2c3cc[nH]c3ncn2)CC1,342.14799932,c1ccc(CC2CCN(c3ncnc4[nH]ccc34)CC2)cc1
KRWMERLEINMZFT,Nc1nc(OCc2ccccc2)c2[nH]cnc2n1,242.10363597199998,c1ccc(COc2ncnc3nc[nH]c23)cc1
NBMBIEOUVBHEBM,CCN(Cc1ccccc1)C(=O)Cn1c(=O)n(C)c2cnc(-c3ccccc3)nc21,402.19245097600003,O=C(Cn1c(=O)[nH]c2cnc(-c3ccccc3)nc21)NCc1ccccc1
KHOITXIGCFIULA,CC(=O)Oc1ccc(C(c2ccc(OC(C)=O)cc2)c2ccccn2)cc1,362.13868408800005,c1ccc(C(c2ccccc2)c2ccccn2)cc1
MWDVCHRYCKXEBY,C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1)c1ccccc1,317.105131464,O=C(CNC(=O)c1ccccc1)NCc1ccccc1
QLVSJMZJSABWRX,Nc1cc(N2CCN(CCP(=O)(O)O)CC2)nc(NCC2CCC(CNCCCNC3CCCCC3)CC2)n1,567.3894501220001,c1cc(N2CCNCC2)nc(NCC2CCC(CNCCCNC3CCCCC3)CC2)n1
GSDSWSVVBLHKDQ,C[C@H]1COc2c3c(cc(F)c2N2CCN(C)CC2)c(=O)c(C(=O)O)cn31,362.15106033999996,O=c1ccn2c3c(c(N4CCNCC4)ccc13)OCC2
XNEFYCZVKIDDMS,COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1,311.16417056399996,O=C(CC(=O)c1ccccc1)c1ccccc1
LKXPLOHGQSEPEM,CCCn1cnc2c(NCc3ccccc3)nc(N[C@H](CC)CO)nc21,355.22408545199994,c1ccc(CNc2ncnc3[nH]cnc23)cc1
ZBCMHWUFWQFPLV,CNc1ncc2cc(-c3c(Cl)cc(-c4cccc(C)n4)cc3)c(=O)n(CC3OCC(N)CO3)c2n1,493.17494234000003,O=c1c(-c2ccc(-c3ccccn3)cc2)cc2cncnc2n1CC1OCCCO1
YRYQLVCTQFBRLD,C=CC(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(C)c24)C3)C[C@@H]1CC#N,566.3237994880001,c1ccc2c(N3CCc4c(nc(OCC5CCCN5)nc4N4CCNCC4)C3)cccc2c1
CKTSBUTUHBMZGZ,Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1,228.097881896,O=c1ncccn1C1CCCO1
RNUXIZKXJOGYQP,COc1ccc(-n2c(SCCCN3C(=O)c4c5c(cccc5ccc4)C3=O)nnc2-c2ccncc2)cc1,522.1594365960001,O=C1c2cccc3cccc(c23)C(=O)N1CCCSc1nnc(-c2ccncc2)n1-c1ccccc1
GEZHEQNLKAOMCA,CC(C)=CCC[C@]1(C)C=Cc2c(O)c3c(O[C@]45C(=C[C@@H]6C[C@H]4C(C)(C)O[C@@]5(C/C=C(/C)C(=O)O)C6=O)C3=O)c(CC=C(C)C)c2O1,629.3108943679999,O=C1C2=CC3CC4COC(C3=O)C24Oc2cc3c(cc21)C=CCO3
BMUACLADCKCNKZ,NC(=O)c1c(N)cc(-c2cscc2)s1,225.01508087599998,c1csc(-c2ccsc2)c1
VFCRKLWBYMDAED,CCC[C@H](N[C@H]1CCc2c(C1)c(F)cc(F)c2)C(=O)Nc1cn(C(C)(C)CNCC(C)(C)C)cn1,490.3351933720001,O=C(CNC1CCc2ccccc2C1)Nc1c[nH]cn1
ARGKVCXINMKCAZ,COc1c(O)cc([C@@H]2CC(=O)c3c(O)cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)cc3O2)cc1,611.1970463879999,O=C1CC(c2ccccc2)Oc2cc(OC3OCCCC3OC3CCCCO3)ccc21
BWKMGYQJPOAASG,O=C(O)[C@H]1Cc2ccccc2CN1,178.086254592,c1ccc2c(c1)CCNC2
WUDBUIUHVNECTM,Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCCCC2)n1,338.17754986,c1ccc(-c2ncn(C3CCCCC3)c2-c2ccncn2)cc1
AHNNWZOVCRQAAH,Cc1cc2nc(-c3ccccc3)c(C(=O)C(=O)c3ccccc3)n2cc1,341.12845375200004,O=C(C(=O)c1c(-c2ccccc2)nc2ccccn12)c1ccccc1
JRNJNYBQQYBCLE,COc1c(C(=O)c2cnc(NC3CCN(S(C)(=O)=O)CC3)nc2N)c(F)c(F)cc1,442.13550759200007,O=C(c1ccccc1)c1cnc(NC2CCNCC2)nc1
HZILSILAELSWKN,CCCCCOC1CCC(NC(=O)c2c3nc(C)cc(C)n3nc2)CC1,359.24415220000003,O=C(NC1CCCCC1)c1cnn2cccnc12
VGRLXWFIXGZRMS,O=C(c1cnc(NCc2nccnc2)nc1)N1CCC2(CCOCC2)C1,355.1876999439999,O=C(c1cnc(NCc2cnccn2)nc1)N1CCC2(CCOCC2)C1
MUOKSQABCJCOPU,O=C(O)c1cc2nc(Nc3cc(Cl)ccc3)c3ccncc3c2cc1,350.069080304,c1ccc(Nc2nc3ccccc3c3cnccc23)cc1
DEZZLWQELQORIU,OCCn1cc(-c2cc3c(cc2)/C(=N/O)CC3)c(-c2ccncc2)n1,335.15025181600004,N=C1CCc2cc(-c3c[nH]nc3-c3ccncc3)ccc21
WGKGADVPRVLHHZ,O=S(=O)(N[C@@H]1CCC[C@H](N2c3ccccc3Oc3ccccc32)[C@H]1O)c1ccc(OC(F)(F)F)cc1,521.135253496,O=S(=O)(NC1CCCC(N2c3ccccc3Oc3ccccc32)C1)c1ccccc1
NIJGWJIOMPHDBP,CN1CCN(c2nc(N)nc(-c3ccccc3)c2)CC1,270.17132160799997,c1ccc(-c2cc(N3CCNCC3)ncn2)cc1
NCLGDOBQAWBXRA,Cc1nn(-c2c([C@@H](Oc3nc(N)nc(-c4ccc(C[C@H](N)C(=O)O)cc4)c3)C(F)(F)F)ccc(Cl)c2)cc1,547.1466769040001,c1ccc(-c2cc(OCc3ccccc3-n3cccn3)ncn2)cc1
