key,scaffold_group,max_similarity_to_dev,novelty_bin
KPFZCKDPBMGECB,O=C1C(=Cc2cccs2)CCC1=Cc1cccs1,0.29069767441860467,"Q2 [0.289,0.326)"
ZNOVTXRBGFNYRX,O=c1[nH]cnc2c1NC(CNc1ccccc1)CN2,0.30275229357798167,"Q2 [0.289,0.326)"
UPKNGUQNXSMHBE,O=C(Nc1ccccc1)c1ccc(Nc2nnc(-c3ccccc3)c3ccccc23)cc1,0.4166666666666667,"Q4 [0.371,1.000)"
KGWSQGUVJUGIPF,c1ccc(Nc2nc(OCC3CCCCC3)c3[nH]cnc3n2)cc1,0.31297709923664124,"Q2 [0.289,0.326)"
QKDRXGFQVGOQKS,c1ccc(Cc2cccc(C3CCCCO3)c2)cc1,0.3130434782608696,"Q2 [0.289,0.326)"
VFRROHXSMXFLSN,__ACYCLIC__VFRROHXSMXFLSN,0.17647058823529413,"Q1 [0.000,0.289)"
MURAVORBGFDSMA,O=C(Nc1ccccc1)C1NCC2(C(=O)Nc3ccccc32)C1c1ccccc1,0.3089887640449438,"Q2 [0.289,0.326)"
JCKGSPAAPQRPBW,O=C(C(Cc1ccccc1)NS(=O)(=O)c1ccc2c(c1)CCNC2)N1CCCC1,0.28225806451612906,"Q1 [0.000,0.289)"
JFIWEPHGRUDAJN,O=c1ncccn1C1CCCO1,0.453125,"Q4 [0.371,1.000)"
NUUSUAWULNXMGF,O=C(Nc1ccccc1)Nc1ccc2nnsc2c1,0.39705882352941174,"Q4 [0.371,1.000)"
RZIDZIGAXXNODG,c1ccc(CC2CCN(c3ncnc4[nH]ccc34)CC2)cc1,0.2980769230769231,"Q2 [0.289,0.326)"
KRWMERLEINMZFT,c1ccc(COc2ncnc3nc[nH]c23)cc1,0.4246575342465753,"Q4 [0.371,1.000)"
NBMBIEOUVBHEBM,O=C(Cn1c(=O)[nH]c2cnc(-c3ccccc3)nc21)NCc1ccccc1,0.36936936936936937,"Q3 [0.326,0.371)"
KHOITXIGCFIULA,c1ccc(C(c2ccccc2)c2ccccn2)cc1,0.38317757009345793,"Q4 [0.371,1.000)"
MWDVCHRYCKXEBY,O=C(CNC(=O)c1ccccc1)NCc1ccccc1,0.4935064935064935,"Q4 [0.371,1.000)"
QLVSJMZJSABWRX,c1cc(N2CCNCC2)nc(NCC2CCC(CNCCCNC3CCCCC3)CC2)n1,0.2388888888888889,"Q1 [0.000,0.289)"
