key,scaffold_group_census,in_design12b,reasons
AAAQFGUYHFJNHI,c1ccc(C2=NCc3nncn3-c3ccccc32)cc1,True,DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAAUHBGRTHINSW,c1ccc(C2CCCCC2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
AABFWJDLCCDJJN,c1ccc2c(-c3nccc4c3[nH]c3ccccc34)cccc2c1,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
AABILZKQMVKFHP,,False,EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-POS-IDENTITY;EXPOSED_POPULATION:WUR-SEALED
AABYYGGKCQWHRA,O=S(=O)(Nc1ccccc1)c1cnoc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AACFPJSJOWQNBN,O=C1NCCCc2c1oc1ccccc21,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AACVPYUISGWNOU,C1=C2CC(OC3CCC(OC4CCC(OC5CCC(OC6CCCCO6)CO5)CO4)CO3)CCC2C2CCC3CCCC3C2C1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAEAWLCVAIUTBJ,c1ccc(OCCSc2ccccn2)cc1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
AAEVYOVXGOFMJO,,False,EXPOSED_POPULATION:LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;EXPOSED_POPULATION:LCSB-CONFIRMATION;EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-POS-IDENTITY;EXPOSED_POPULATION:WUR-SEALED
AAEZDRKCAQWFDB,O=C(CCSc1nccs1)Nc1ccccc1,False,HEADER_READ_WELL_STUDY1
AAFJXZWCNVJTMK,C(CC1CO1)C1CO1,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAFLALGGEYRGTR,O=C(Nc1cccs1)c1ccccc1,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAGFPTSOPGCENQ,O=C1C=CCC2C3CCCN4CCCC(CN12)C34,False,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;EXPOSED_POPULATION:V2-DEVELOPMENT-POPULATION;EXPOSED_POPULATION:WUR-DEV-ANALYSIS;EXPOSED_POPULATION:WUR-POS-IDENTITY;HEADER_READ_WELL_STUDY1;MSNLIB_ANCHOR_CENSUS_DESIGN;MSNLIB_ANCHOR_CENSUS_DETECTED;MSNLIB_ANCHOR_GATE_CALIBRATION
AAHPIJMQJAZYTM,c1ccc2sccc2c1,False,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1
AAHSTEUFCXJGIV,C=C1C(=O)OC2CC=CCC12,True,SCAFFOLD_GROUP_EXCLUDED
AAHYTWRSQZFZCM,c1cn[nH]c1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAIIJIOWYALNCC,O=C1NCc2c1ccc1c2OC2(CCCC3CCCCC32)C1,True,SCAFFOLD_GROUP_EXCLUDED
AAILVFJAIVKJQG,c1ccc(-c2nc(-c3ccc4ocnc4c3)no2)cc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAJANDWRABHMKV,O=c1[nH]c(=O)c2sc3nc(Cc4ccccc4)ccc3c2[nH]1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAJCAOZPYSHLNJ,O=C(NCc1ccnc(-n2ccnc2)c1)c1cn(-c2ccccc2)nn1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAJMQTLFRTZCJK,O=C(Nc1ccccc1)NC1CCNCC1,True,DECODED_SAME_PLATE_ION_0p01;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAJNUQCUXATYLI,O=C(NCCc1ccccc1)N1CCN(C(=O)NCCc2ccccc2)CC1,False,HEADER_READ_WELL_STUDY1
AAJOPMHTWQOBSN,S=C(NCCc1ccccn1)Nc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAKFSKGDIRKILO,c1ccc(-c2ccoc2)cc1,False,HEADER_READ_WELL_STUDY1
AAKJLRGGTJKAMG,c1ccc(Nc2ncnc3ccccc23)cc1,True,COPLATED_IN_DECODED_WELL;DECODED_SAME_PLATE_EXTENDED_ION_5PPM;DECODED_SAME_PLATE_ION_0p01;DECODED_SAME_WELL_ION_0p7;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAKPNRVLVGZWKZ,O=C(NCCCS(=O)(=O)N1CCN(c2ccccc2)CC1)c1ccccc1,True,SCAFFOLD_GROUP_EXCLUDED
AAKRPNIMPXZCJY,c1cc(CNc2ncns2)cc(N2CCCC2)n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AALLCALQGXXWNA,O=C1OC2C=CC1C1CCC3C(=O)OC(c4ccoc4)CC3C21,True,COPLATED_IN_DECODED_WELL;HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AALLEWUCWSEWPN,O=C(CNC(=O)c1ccncn1)NCc1ccccc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AALSSIXXBDPENJ,O=C1C=CC(=O)C=C1,True,DECODED_SAME_PLATE_ION_0p01;SCAFFOLD_GROUP_EXCLUDED
AAMWBCCOOVEHKO,c1ccc(Sc2ccccc2)cc1,True,SCAFFOLD_GROUP_EXCLUDED
AANLHOVYRNPCCG,O=c1cc[nH]c(SCc2nc(-c3ccccc3)no2)n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAOADKHNFOGATJ,O=C(CSc1nc2sc3c(c2c(=O)[nH]1)CCC3)c1ccc2c(c1)OCCO2,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAOMTOLCSIHZLA,O=C(Nc1ccccc1)c1cccc2ccccc12,True,SCAFFOLD_GROUP_EXCLUDED
AAOQQWDQWALLNL,c1ccc(-n2cccn2)nc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAPOCPWDQZSQRR,c1ccc2[nH]ccc2c1,False,HEADER_READ_WELL_STUDY1
AAPVQEMYVNZIOO,,False,EXPOSED_POPULATION:LCSB-ALL-MASSBANK-V1-EXPOSURE-SET;EXPOSED_POPULATION:LCSB-NEG
AAPVVWIJQYJQDU,O=C(Cn1cccc1)Nc1n[nH]c(C2CCC2)n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AAQCMZVIQHLXPK,c1ccc(Cc2nnc3n2CCCCC3)cc1,False,HEADER_READ_WELL_STUDY1
AARVTLIQNGAELZ,O=c1ccc2nc3ccc(OCc4ccccc4)cc3oc-2c1,False,HEADER_READ_WELL_STUDY1
AASPGTOXCQXNOQ,c1ccccc1,False,HEADER_READ_WELL_STUDY1
AASPJVSSGHFYEZ,O=C(Cc1[nH]nc2ccccc12)Nc1cc(C2CC3CCC2C3)[nH]n1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
AATNJWXJPJWZJO,O=C(NCc1cccnc1)c1ccc2nc[nH]c2c1,True,HEADER_READ_WELL_STUDY1;SAMPLE1_DRAW_GROUP;SCAFFOLD_GROUP_EXCLUDED
AATQPQPHHPJRIB,c1ccc(CSc2ccc3nnc(-c4cccnc4)n3n2)cc1,True,HEADER_READ_WELL_STUDY1;SCAFFOLD_GROUP_EXCLUDED
