file,file_sha256,unique_sample_id,events
20220613_100AGC_60000Res_pluskal_mce_1D1_A10_id.mzML,ad95767be9693185b8302369c137120f1f32a313c835cba428e2eff48b2e3048,pluskal_mce_1D1_A10_id,E_buggy_preflight;E_buggy_preflight_surfaced_sanity_check
20220613_100AGC_60000Res_pluskal_mce_1D1_B10_id.mzML,9a1fb39004faeb9820042c5a6ce97a4156f0cba556cecf6d368e7407db86ef87,pluskal_mce_1D1_B10_id,E_anchor_gate_attempt1;E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_B12_id.mzML,c41faef47534fe3d8247ff3174e7cf43449ff8ff9d59865c9bd84140c9690bb4,pluskal_mce_1D1_B12_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_B13_id.mzML,14efb3463590dc48be3623b31b31da8801dac087ec1bdd06dd14deebb1d073a3,pluskal_mce_1D1_B13_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_B21_id.mzML,11cf5a9bdf64503dc2f286614966e28c101a30841b83d45bc93a57a40f99c52b,pluskal_mce_1D1_B21_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_B24_id.mzML,d5fff520310626174bd0d602902fb71f00b76f74e1be9df7f5b8f761380b031f,pluskal_mce_1D1_B24_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_B2_id.mzML,a445c9f2405c519fa1142c201b22a712bf348e0eb1cdd0b66d14ba8903da427b,pluskal_mce_1D1_B2_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_B3_id.mzML,9e9998441db2145012fd303d16dcf2f0846b41a3882b16d0a2b3c88a66e0c0df,pluskal_mce_1D1_B3_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_C23_id.mzML,d3bf57f64bb418acad3c1180968886fdd3470c840bb093b76f48630e71183b91,pluskal_mce_1D1_C23_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_C6_id.mzML,30c749950cec4ab93f41e3c8a6beb90fc557837ac6d4461301d61a75392609fc,pluskal_mce_1D1_C6_id,E_buggy_preflight
20220613_100AGC_60000Res_pluskal_mce_1D1_D10_id.mzML,4009228b133b9ff9c13c02d43c9a10edb9a2731f6f7f8a7fbcb66f03c8e4749e,pluskal_mce_1D1_D10_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_D15_id.mzML,611a9eb7139eeb2439c20f41f5308076e999c054dbe12d83b7cfc94fc50d27c3,pluskal_mce_1D1_D15_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_D16_id.mzML,c37a29304a6fb52426eb2ec160144d2d0475409e1f523803fcfc9c9f35f80c5e,pluskal_mce_1D1_D16_id,E_buggy_preflight
20220613_100AGC_60000Res_pluskal_mce_1D1_D18_id.mzML,cd1f33dc9e26ef6ae309b752ddbbf24f6adef0d9a41e679de8c53372b0e4ea61,pluskal_mce_1D1_D18_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_D23_id.mzML,040e35089d79017834a9275fd726859146f9a529d4d09764c77d3abd064e944c,pluskal_mce_1D1_D23_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_D2_id.mzML,4d0d296fb72cface368a3ad5f6bef981215b6d844b5b72910619d18edfc78b4d,pluskal_mce_1D1_D2_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_D7_id.mzML,438bbe4d34f206a83ab95fe5073a52d6021e9e34c60d3ff4ab7aa1618c3d99e3,pluskal_mce_1D1_D7_id,E_buggy_preflight
20220613_100AGC_60000Res_pluskal_mce_1D1_E17_id.mzML,34e720deefd0939bc2d26831da2876a6c170eca6e37017d666d17e0cbcfbf509,pluskal_mce_1D1_E17_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_E7_id.mzML,840f253ecf411ce61dd867ca91de31f1ba5dbbadfbdd3054bf9833ad5d8e4fd4,pluskal_mce_1D1_E7_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_F10_id.mzML,d267b79a13d86398313f16ab2bef20c8046c4a5f1af1a564b18b80dc83096fba,pluskal_mce_1D1_F10_id,E_buggy_preflight
20220613_100AGC_60000Res_pluskal_mce_1D1_F12_id.mzML,0363952c5b0b438a8cccd013e3c70df92c3cb1bf76d0d5626c93ea19f09fb56d,pluskal_mce_1D1_F12_id,E_buggy_preflight
20220613_100AGC_60000Res_pluskal_mce_1D1_F13_id.mzML,ee53ea9bee90163e04b0dbafc029c0e3aae153823d0c49f22aee4ae60b0b8a6e,pluskal_mce_1D1_F13_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_F19_id.mzML,cbfbfbc5b6c529c377a2230ef2875a824f4595c165105dbf6a9855c3dc644b4d,pluskal_mce_1D1_F19_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_F1_id.mzML,35892a7ac648080ce84818512c14fa91a17bb0d1b7b1432981129d7eaf1d0a00,pluskal_mce_1D1_F1_id,E_buggy_preflight
20220613_100AGC_60000Res_pluskal_mce_1D1_F22_id.mzML,184f089bd7eb6802e8898d42cc3f34422c25e50d71aa8798291435f81e4fa0c9,pluskal_mce_1D1_F22_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_F23_id.mzML,77818bc3d7fdd1f1af711335302093f3d0e8878810b36173b3e0ce7832974400,pluskal_mce_1D1_F23_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_F6_id.mzML,a0198500405e43afdac91c613f0790e9397c3e804b63acbac2ee0a67e42313da,pluskal_mce_1D1_F6_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_F9_id.mzML,298d24997e069fada0082ac9a01408eca0e73b33b828645e447b38f50b6c85b6,pluskal_mce_1D1_F9_id,E_buggy_preflight
20220613_100AGC_60000Res_pluskal_mce_1D1_G10_id.mzML,24f99c60a5d2c4331f1e6b903a2f9c7d4826d1ebb04e685c10b264ba804746cc,pluskal_mce_1D1_G10_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_G12_id.mzML,37b441b1983ce9347308c862c67f82db2369c711266cbde9b9882084c500b6b0,pluskal_mce_1D1_G12_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_G21_id.mzML,3c21fa118020b0b9473a0cf32f39f66f042ede495105ed4ac410fad1e66911db,pluskal_mce_1D1_G21_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_H12_id.mzML,d113a06bf68c304846ac938f2919933788bcf4964d109af1d2be3396dd72c7c0,pluskal_mce_1D1_H12_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
20220613_100AGC_60000Res_pluskal_mce_1D1_H15_id.mzML,acec1cdbdc03c54f83b716168a123baaaa6e9dd55aa2722eec4ff8ed95153108,pluskal_mce_1D1_H15_id,E_buggy_preflight
20220613_100AGC_60000Res_pluskal_mce_1D1_H18_id.mzML,a90f62ad47a24e64444bd83f47b8d20ba57a032c9c8d888e690a2344884d1e50,pluskal_mce_1D1_H18_id,E_anchor_gate_attempt2;E_buggy_preflight;E_fixed_preflight_rerun
