key,scaffold_group,max_similarity_to_dev,novelty_bin
AACWHNWGNNQFNJ,c1ccc(CCCN2CCC(Oc3ncccn3)CC2)cc1,0.3614457831325301,"Q3 [0.319,0.364)"
AAMBVCCBNOIXNL,O=S(=O)(NCc1nccc(N2CCOCC2)n1)c1ccccc1,0.3670886075949367,"Q4 [0.364,1.000)"
AASLFELHFOYXIN,O=C(Cn1nc[nH]c1=O)NCCc1ccccc1,0.375,"Q4 [0.364,1.000)"
AAVLZVTZNNAASM,O=C(c1cccnc1)N1CCCCC1c1noc(C2CC2)n1,0.2621359223300971,"Q1 [0.000,0.281)"
ABCQZMQEKXPIFP,O=C(CNC(=O)C1CCCCC1)Nc1nc2ccccc2[nH]1,0.4647887323943662,"Q4 [0.364,1.000)"
ABGZKYLUNKBOCQ,c1cc(NC2CCN(c3cnccn3)CC2)ncn1,0.2702702702702703,"Q1 [0.000,0.281)"
ABJVQMQZVOYUMQ,c1ccc(OCc2nc3nccc(-c4cccnc4)n3n2)cc1,0.3592233009708738,"Q3 [0.319,0.364)"
ABYOVIVWKRGMMX,O=S(=O)(Nc1ccc2c(c1)OCCO2)c1ccsc1-c1nc(-c2ccccc2)no1,0.29133858267716534,"Q2 [0.281,0.319)"
ACKAGGWASQAMJO,O=C(CCc1cccc2[nH]ccc12)NCc1ccccc1,0.37623762376237624,"Q4 [0.364,1.000)"
ACSALFRZGTUHRF,O=C(CN1C(=O)COc2ccccc21)NC1CCN(c2nccs2)CC1,0.26573426573426573,"Q1 [0.000,0.281)"
ACSIXWWBWUQEHA,__ACYCLIC__ACSIXWWBWUQEHA,0.2,"Q1 [0.000,0.281)"
ADCLVWNNQHSMHA,c1ccc2nsnc2c1,0.2926829268292683,"Q2 [0.281,0.319)"
ADMHNFPUCOWXKY,O=S(=O)(N1CCCC1)N1CCc2cccnc21,0.2857142857142857,"Q2 [0.281,0.319)"
AEKCMFYYTJHRPX,O=C(NCC(=O)N1CCC(c2ncc[nH]2)C1)c1ccccc1,0.32941176470588235,"Q3 [0.319,0.364)"
AEMLNYNLJWRYRZ,c1c[nH]c(-c2ccco2)c1,0.38596491228070173,"Q4 [0.364,1.000)"
AEOBGWSMUHRGAG,c1ccc(-c2nnc3n2CCCC3)cc1,0.38235294117647056,"Q4 [0.364,1.000)"
AETDGIHVYFQVFV,O=C(NC1CCOC1)c1cccc2[nH]ncc12,0.2714285714285714,"Q1 [0.000,0.281)"
AEUAVVIPDJTEFS,C=C(CCOC1CCCCO1)C(=O)OCC1CCCC(OCCC(=C)C(=O)OC2CCCOC2)O1,0.25870646766169153,"Q1 [0.000,0.281)"
AEXKXNVKAQMLHR,c1ccc(OC2CCN(c3ccncc3)C2)nc1,0.3333333333333333,"Q3 [0.319,0.364)"
AFFVCIJVIYYBIN,O=C(Nc1ccncc1-c1ccccc1)N1CCCCC1,0.3291139240506329,"Q3 [0.319,0.364)"
AFGMKVWFQDNIAA,c1nc(NCc2ccc3c(c2)OCO3)c2ccsc2n1,0.29508196721311475,"Q2 [0.281,0.319)"
AFTZZRFCMOAFCR,c1ccc2c(c1)[nH]c1ccc(Nc3ccnc(NCCCN4CCOCC4)n3)cc12,0.39603960396039606,"Q4 [0.364,1.000)"
AGIADZBLVQXLTJ,O=C(Nc1nc2c(s1)CCC2)C1CCCN1S(=O)(=O)c1ccccc1,0.4,"Q4 [0.364,1.000)"
AGJDUHGLFBOFPB,O=C(NCCCc1ccccc1)NCC1(c2ccccc2)CC1,0.375,"Q4 [0.364,1.000)"
AGULBBVQCXSNNC,O=C1CCCCN1CCc1ccccc1,0.3020833333333333,"Q2 [0.281,0.319)"
AGXCELDCMBHOOZ,O=S(=O)(c1c[nH]cn1)N1CCCCC1,0.23958333333333334,"Q1 [0.000,0.281)"
AHBINDFMTBIHGC,O=C(c1cccnc1N1CCCC1)N1CCCC1,0.3010752688172043,"Q2 [0.281,0.319)"
AHMBZXRATZXNBV,c1ccc(-c2nc(CNC3CCNCC3)cs2)nc1,0.23863636363636365,"Q1 [0.000,0.281)"
AHVXEXDRYIGQKJ,O=C(Cc1ccccc1)N1CCN(Cc2nncn2C2CCCCC2)CC1,0.34234234234234234,"Q3 [0.319,0.364)"
AIAACORTNIPHEO,c1cc(-c2cc[nH]n2)ccn1,0.359375,"Q3 [0.319,0.364)"
AJCRDNMGBHSJBI,c1cnc(N2Cc3ccccc3OC3(CCOCC3)C2)nc1,0.2542372881355932,"Q1 [0.000,0.281)"
AJCTXKDDRHDHGM,O=C(NCc1cccs1)N(CCc1cccs1)Cc1cccnc1,0.3333333333333333,"Q3 [0.319,0.364)"
AJEBWVIODHBWMC,O=C(C1CCCC1)N1CCCC1,0.32926829268292684,"Q3 [0.319,0.364)"
AJGYYVGRMFTRGQ,O=C(CSc1ncccn1)N1N=C(c2cccs2)CC1c1ccccc1,0.28125,"Q2 [0.281,0.319)"
AJOLYOGWPCFLQD,O=C(Cc1ccccc1)NC1CCN(CC2CCOC2)CC1,0.27350427350427353,"Q1 [0.000,0.281)"
AJZMFVCWPFPTHP,O=S(=O)(c1ccccc1)N1CCC(Oc2ccc3ccccc3n2)C1,0.3577981651376147,"Q3 [0.319,0.364)"
ALAXZPRHGHORDZ,O=C(Nc1ccccc1)Nc1cccc(OCC2CCCO2)c1,0.4166666666666667,"Q4 [0.364,1.000)"
ALJIEVIJBAJISI,C(=NNc1ccccc1)C1=NCCc2ccccc21,0.3644859813084112,"Q4 [0.364,1.000)"
ALLGSQDOOOGRKB,O=C(COc1ccccc1)NCCn1cc(-c2ccoc2)cn1,0.34,"Q3 [0.319,0.364)"
ALMZCCVRQHVXAX,O=C(NC1CCCCC1)N1CC2CCC1C2,0.36486486486486486,"Q4 [0.364,1.000)"
ALSIZUAFMUZUOV,O=C(c1ccn(-c2ccccc2)n1)N1CCc2ccccc21,0.33620689655172414,"Q3 [0.319,0.364)"
ALTRINCJVPIQNK,C=C1CCC2(CC3C(CC4C3CCC3C5CCCCC5=CCC34)O2)OC1,0.5221238938053098,"Q4 [0.364,1.000)"
ALVBIHZEKFWBCV,c1cnc2nn3c(NC4CCCCC4)ccnc3c2c1,0.28888888888888886,"Q2 [0.281,0.319)"
AMCUCBQXISECBL,O=C(Cc1ccccc1)NCc1ncno1,0.3069306930693069,"Q2 [0.281,0.319)"
ANFBRAQJVYLHHJ,O=C(c1cccs1)N1CCCC(Oc2cnccn2)C1,0.3173076923076923,"Q2 [0.281,0.319)"
ANRVPJVYTSFHFM,O=C(NCc1cccnc1)C1CCc2sc(C(=O)N3CCCCC3)cc2C1,0.2777777777777778,"Q1 [0.000,0.281)"
ANXUAMWXFVTWBE,O=C(Nc1cccnc1)c1cc2ccccc2s1,0.325,"Q3 [0.319,0.364)"
AOGRUJLABMMZIL,O=C(c1n[nH]c2ccccc12)N1CC2CCCC2(COc2ncccn2)C1,0.3277310924369748,"Q3 [0.319,0.364)"
AOOVJIWZEHXZMH,c1c[nH]c(CNCc2cccs2)c1,0.27710843373493976,"Q1 [0.000,0.281)"
AOPMSFXOYJXDNJ,O=C1C=CC2(C=CC3C=COC(OC4CCCCO4)C32)O1,0.3310810810810811,"Q3 [0.319,0.364)"
AOVTUXAUJDOPOZ,O=C(Cn1ccc2ccccc21)N1CCCC1,0.31521739130434784,"Q2 [0.281,0.319)"
APCIMZLNBOXVEP,c1ccc2c(c1)ncn2C1CN(Cc2ccc3c(c2)OCCO3)C1,0.35537190082644626,"Q3 [0.319,0.364)"
APDWSVXMMWFNCP,O=C(CN1C(=O)COc2ccccc21)NCc1ccccc1Cn1ccnc1,0.3392857142857143,"Q3 [0.319,0.364)"
APGVTDNKTKUIKH,O=C1Nc2ncccc2Oc2ccc(S(=O)(=O)Nc3ccc4c(c3)OCCO4)cc21,0.31654676258992803,"Q2 [0.281,0.319)"
APHHENCGZSWPAP,c1cn(-c2ccn[nH]2)cn1,0.27058823529411763,"Q1 [0.000,0.281)"
APODOIOLMHBCON,c1cncc(-c2nc(N3CCOCC3)cc3ccccc23)c1,0.3333333333333333,"Q3 [0.319,0.364)"
APRUTMSIXNQYGV,O=C(Nc1cc(C(=O)N2CCOCC2)c[nH]c1=O)c1ccccc1,0.39316239316239315,"Q4 [0.364,1.000)"
APSZCQZJXWEGJS,O=C1C=C(c2ccccc2)C2CCCN12,0.35384615384615387,"Q3 [0.319,0.364)"
APXZUVPDTDYCQH,c1ccc(CSC2=NCCN2)cc1,0.4057971014492754,"Q4 [0.364,1.000)"
APZPNPHFKWMENA,O=C(c1ccccc1)N1CCC(COc2cccnn2)C1,0.2743362831858407,"Q1 [0.000,0.281)"
AQUGTQBXJZHCNG,O=C(CCC1NC(=O)N(Cc2ccccc2)C1=O)NCCc1c[nH]c2ccccc12,0.36538461538461536,"Q4 [0.364,1.000)"
ARKZMCIJAGNUEF,O=C(NCC1CCNCC1)c1cc(C2CC2)on1,0.25,"Q1 [0.000,0.281)"
ARNXUXYPWUWNPP,C1=C2CCC3CCCCC3C2CCC1CCOC1CCCCO1,0.3503184713375796,"Q3 [0.319,0.364)"
AROQKBMPRNNYKX,O=C(c1ccccc1)c1cn(CC2CCCCC2)c2cc3c(cc2c1=O)OCCO3,0.3883495145631068,"Q4 [0.364,1.000)"
ARULNHPTXSKWGK,O=C(Nc1ccccc1)c1cc2c(NCc3ccccc3)nccn2n1,0.36036036036036034,"Q3 [0.319,0.364)"
ARUOLQDAWAPERP,O=C(c1ccno1)N(Cc1ccccc1)c1nc2ccccc2s1,0.38144329896907214,"Q4 [0.364,1.000)"
ARYQHSWJGHCGJS,O=C(c1cccc(N2Cc3ccccc3C2=O)c1)N1CCC2(CC1)CCN(c1ccncc1)CC2,0.30625,"Q2 [0.281,0.319)"
ATGNLOUPTQGNME,O=C1CC2(CCCC2)N=C(N2CCN(c3ccccc3)CC2)N1,0.26785714285714285,"Q1 [0.000,0.281)"
ATQBNDWOAWTPPU,c1ccc(Nc2cn[nH]c2)cc1,0.40384615384615385,"Q4 [0.364,1.000)"
ATQDCAHCFUIORH,O=C(c1ccc2ccccc2n1)N1CCN(c2ccc(-c3nccs3)cn2)CC1,0.3389830508474576,"Q3 [0.319,0.364)"
ATRGJKSJQFGQOP,O=C(NCC1(N2CCOCC2)CCC1)c1cccc2ccccc12,0.3614457831325301,"Q3 [0.319,0.364)"
ATTRBBHZYCJQGD,O=C(Nc1cnn(CC2CCCCO2)c1)c1cnoc1,0.2840909090909091,"Q2 [0.281,0.319)"
ATYKIOOSWNVACE,c1cc(CNc2ccc(-c3cn4c(n3)CCCC4)cc2)n[nH]1,0.2975206611570248,"Q2 [0.281,0.319)"
AUJAYJRNZMQXQN,O=C(COc1cccc(NC(=O)c2ccccc2)c1)c1ccccc1,0.44339622641509435,"Q4 [0.364,1.000)"
AUYCNSCKGNAXFS,O=c1cc(-c2ccc(OCc3cccc(-c4ccccc4)c3)cc2)[sH+][nH]1,0.3120567375886525,"Q2 [0.281,0.319)"
AVAFXKYZVRIKOT,O=C1CCCC(c2ncc[nH]2)N1,0.2647058823529412,"Q1 [0.000,0.281)"
AVGYWMWEBBJYGT,O=C(CC1CCCC(=O)N1)NCc1nnc(C2CC2)n1C1CC1,0.25274725274725274,"Q1 [0.000,0.281)"
AVJUOIASYRBVTP,O=C(COc1cccc2ccc(N3CCCC3)nc12)Nc1ccccc1,0.3185840707964602,"Q2 [0.281,0.319)"
AVMQMLAAZPJUNL,O=C1CCC(Cc2cccc(=O)o2)O1,0.26881720430107525,"Q1 [0.000,0.281)"
AWGFJVUSFJHYRW,O=C(CNc1ccccc1)Nc1ccc(Oc2ccccc2)cc1,0.42990654205607476,"Q4 [0.364,1.000)"
AWKMLRPDNROBLT,c1cnn(-c2cc(OCC3CCN(c4ncnc5cnccc45)CC3)ncn2)c1,0.24342105263157895,"Q1 [0.000,0.281)"
AWPLKJDDMQEYEI,O=C(NCc1ccncc1)c1cn(-c2ccccc2)nn1,0.35185185185185186,"Q3 [0.319,0.364)"
AWXSXBGPZKIOLG,O=C(CCC1CCCC1)NCC1CC(=O)N(Cc2ccccc2)C1,0.313953488372093,"Q2 [0.281,0.319)"
AXPZIVKEZRHGAS,O=C1OC(COc2ccccc2)CC1Cc1ccccc1,0.375,"Q4 [0.364,1.000)"
AXWQOFCSXRNLJR,O=C1NCCN1c1ccc(C(=O)N2CCCC2c2ccccc2)cc1,0.3137254901960784,"Q2 [0.281,0.319)"
AXXYZDFDNVAKST,c1cnc(N2CCNCC2)cn1,0.22916666666666666,"Q1 [0.000,0.281)"
AYBMHXWRYKEQFA,c1ccc(Cc2c[nH]nn2)cc1,0.359375,"Q3 [0.319,0.364)"
AYCYIJROSUWJSQ,c1cnc(OC2CCN(Cc3ncon3)CC2)nc1,0.2647058823529412,"Q1 [0.000,0.281)"
AYFQYRORILCUMP,O=C(CCc1ccccc1)N1CC(Cn2ccnc2)C1,0.31,"Q2 [0.281,0.319)"
AYJXHIDNNLJQDT,O=C1C=CC(=O)CC1,0.2413793103448276,"Q1 [0.000,0.281)"
AYXIEOOGNHFBQF,O=C(c1cc2sccc2[nH]1)N(Cc1ccn[nH]1)C1CC1,0.26595744680851063,"Q1 [0.000,0.281)"
AYZNWAJQDJVZMI,c1nc(N2CCC2)c2ccsc2n1,0.24096385542168675,"Q1 [0.000,0.281)"
AZIAKBGUAOYQSS,O=C(c1ccc(=O)[nH]c1)N1CCCCC1,0.29069767441860467,"Q2 [0.281,0.319)"
AZPDJGLJPDRCDQ,O=C(Nc1ccc2[nH]nc(-c3ccc4[nH]ccc4c3)c2c1)c1ccccc1,0.35714285714285715,"Q3 [0.319,0.364)"
AZPLTPJJBXFLPF,c1cnc(N2CCN(c3nc4ccccc4s3)CC2)nc1,0.3106796116504854,"Q2 [0.281,0.319)"
AZQKULISZPXKFR,O=C(Cc1ccno1)N1CCCC1,0.24210526315789474,"Q1 [0.000,0.281)"
BBISUSCSPYMMBH,O=C(Nc1[nH]nc2[nH]nc(-c3ccccc3)c12)c1c[nH]nn1,0.33980582524271846,"Q3 [0.319,0.364)"
BBUPSAVJTPCPFC,O=C(NCCn1cccn1)c1nnn(-c2ccccc2)n1,0.3815789473684211,"Q4 [0.364,1.000)"
BCFNHCKVORVLRK,O=C(Cc1ccccc1C(=O)N1CCCCC1)N1CCCCC1,0.3238095238095238,"Q3 [0.319,0.364)"
BCGOEWFBHIULGO,O=S(=O)(NCC1CN(c2ncnc3nc[nH]c23)C1)C1CC1,0.24468085106382978,"Q1 [0.000,0.281)"
BCMOSAMLFLEOEP,O=C1NC=C(C(=O)OCCOc2ccccc2)C(c2ccccc2)N1,0.41,"Q4 [0.364,1.000)"
BCSNQWODUVGTJJ,O=C(NCc1[nH]nc2c1CCC2)c1noc2c1CCCC2,0.22826086956521738,"Q1 [0.000,0.281)"
BCZUAADEACICHN,c1cnc2ccc(Sc3nnc4ccc(-c5cn[nH]c5)nn34)cc2c1,0.3,"Q2 [0.281,0.319)"
BDGQLWARFIRCFX,O=C(NNC(=O)c1ccc(Cn2cccn2)o1)Nc1ccccc1,0.35789473684210527,"Q3 [0.319,0.364)"
BDLGGHQCHYCZJY,c1ccc(CSc2ccc3c(n2)CCCC3)cc1,0.3333333333333333,"Q3 [0.319,0.364)"
BDSOPJXPSMVLHF,O=S(=O)(NCc1cn(-c2ccccc2)nn1)C1CC1,0.2875,"Q2 [0.281,0.319)"
BENUHBSJOJMZEE,O=C(NCCN1CCCC1)c1cc(-c2ccc(CN3CCOCC3)cc2)nc2ccccc12,0.33557046979865773,"Q3 [0.319,0.364)"
BEPSIJFLWYEYFY,c1ccc(-c2nccc(SCC3CCCO3)n2)nc1,0.35,"Q3 [0.319,0.364)"
BESADSOBFGZQOR,O=C(c1cc[nH]c1)N1CCC2(CC1)CC2,0.23529411764705882,"Q1 [0.000,0.281)"
BETQLUUATUHVEO,O=S(=O)(Nc1ccncc1)c1cccc2ccccc12,0.37037037037037035,"Q4 [0.364,1.000)"
BEUPATADTMQRKB,O=C1NC=C(C(=O)OCc2ccccc2)C(c2ccsc2)N1,0.38144329896907214,"Q4 [0.364,1.000)"
BFJXOMJAHMJFPO,c1ccc(NC2Nc3ccnn3S2)cc1,0.27906976744186046,"Q1 [0.000,0.281)"
BFKRYRTWTOFGFE,c1ccc(-c2nc(Cn3cc(-c4nc(-c5ccccn5)no4)nn3)co2)cc1,0.3178294573643411,"Q2 [0.281,0.319)"
BFPLGSPCIPLYSN,O=S(=O)(NC[SiH2]Cc1ccccc1)c1ccccc1,0.45714285714285713,"Q4 [0.364,1.000)"
BGFUNMISEOPTKI,O=C(NCC1(C2CCC2)CCC1)N1CCOCC1,0.25252525252525254,"Q1 [0.000,0.281)"
BGKAHDMWFVZXFB,C1=CC2CCC1CC2CNc1cc2nncn2cn1,0.22784810126582278,"Q1 [0.000,0.281)"
BGUIFRKTGBZZEW,O=C(CCCCCN1C(=O)c2ccccc2C1=O)Nc1ccccc1,0.3673469387755102,"Q4 [0.364,1.000)"
BHBWNYBKKMRJJJ,O=C(CCN1CCN(CC(c2ccccc2)N2CCCC2)CC1)c1ccccc1,0.391304347826087,"Q4 [0.364,1.000)"
BHGYEFGSVNXEME,c1coc(C2CCC2)n1,0.22058823529411764,"Q1 [0.000,0.281)"
BHJJWVDKNXABFS,O=c1c2cnc(Nc3ccc(N4CCNCC4)cc3)nc2n2c3ccccc3nc2n1-c1ccccc1,0.304635761589404,"Q2 [0.281,0.319)"
BHRKUGSUIQSGBW,O=C(c1cccnc1)N1CC(S(=O)(=O)C2CCCCC2)C1,0.3404255319148936,"Q3 [0.319,0.364)"
BHSDLJXQKBYFNH,O=C1OCC2C1=CC(OC(=O)c1ccccc1)C1CCCCC21,0.3431372549019608,"Q3 [0.319,0.364)"
BIKLEXHQPRSEGF,O=C(c1noc2c1CCCC2)N1CCC(Oc2ccccn2)C1,0.25688073394495414,"Q1 [0.000,0.281)"
BILZREJNQHDKIP,O=C1CC2CCCC3C4CCCCC4CC(O1)C23,0.25925925925925924,"Q1 [0.000,0.281)"
BITDNCVNFSAXOX,O=C(c1cn[nH]c1)N1CC2COCC2C1,0.19801980198019803,"Q1 [0.000,0.281)"
BIWCPSVCCADONB,O=C(Nc1cnc2oncc2c1)c1ccccc1,0.30337078651685395,"Q2 [0.281,0.319)"
BIXQBFHFNVZCFS,O=C(c1cccc(CNc2ccccn2)c1)N1CCCCC1,0.31746031746031744,"Q2 [0.281,0.319)"
BKMVRPBCDZHYMW,c1ccc2c(c1)ncn2C1CN(c2ncnc3ncccc23)C1,0.3333333333333333,"Q3 [0.319,0.364)"
BKPSKJNGIIQQHD,O=c1ccoc2c1OC=CC2c1cccs1,0.24778761061946902,"Q1 [0.000,0.281)"
BKSKLJYSDDJGFN,O=c1c2nncn2ccn1Cc1ccccc1,0.2871287128712871,"Q2 [0.281,0.319)"
BKYCYFOUFAIZEB,O=C(c1cccs1)N1CCCN(c2nnc3ccccn23)CC1,0.26956521739130435,"Q1 [0.000,0.281)"
BKZJASDNYYHTNY,O=C(C1CCCC1)N1CCC(c2noc(-c3ccccc3)n2)CC1,0.422680412371134,"Q4 [0.364,1.000)"
BLBVUOMHCIFTHX,O=C(c1cccs1)N1CCCSCC1CN1CCCCC1,0.28125,"Q2 [0.281,0.319)"
BLGZCMLYGQGWBX,O=C(Cn1nc2c3ccccc3ncn2c1=O)NCc1ccccc1,0.42574257425742573,"Q4 [0.364,1.000)"
BLHYMFMAAZZCAY,O=C(NC1CCCCC1)NC1CCN(C(=O)c2ccco2)CC1,0.2647058823529412,"Q1 [0.000,0.281)"
BLKBWQVVNTURPT,O=C(c1cccnc1)N1CCC(COc2ccc3nc(C4CC4)cn3n2)CC1,0.3356164383561644,"Q3 [0.319,0.364)"
BLLLAUHTNAVSQR,O=C(NCCc1ccccc1)C1CCCN1S(=O)(=O)c1ccccc1,0.3037037037037037,"Q2 [0.281,0.319)"
BLWZTRGZPZOPMT,O=C1CN(C(=O)COc2ccccc2)c2ccccc2N1,0.37349397590361444,"Q4 [0.364,1.000)"
BMCAMMQVILUNCT,O=C(Cn1cnc2cc3c(cc21)OCCO3)NCc1ccc2c(c1)OCCCO2,0.25,"Q1 [0.000,0.281)"
BMVMGFGRBGPRDH,O=C1NC(=O)C(CNC(=O)c2ccc(OC3CC3)cc2)(c2ncc[nH]2)N1,0.28448275862068967,"Q2 [0.281,0.319)"
BNAJBHQYPDQDHF,O=C(NCCc1nnc(-c2ccccc2)[nH]1)c1ccn[nH]1,0.34146341463414637,"Q3 [0.319,0.364)"
