unique_sample_id,source_zip,member,file,n_candidates,file_sha256
pluskal_mce_1D1_A11_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,3,c0fd76b23ab7cc4bfdae8dfca2552a9a6f38e021c5a4f991a5c9e76264736298
pluskal_mce_1D1_A18_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,3,c358c68127e670694e1ee5e9012e7fdd486245c8333e342c4dc327cb5659c1f7
pluskal_mce_1D1_A2_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_A2_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_A2_id.mzML,3,98485ee2836d5a64e7f374e868d2f07feb65cd5ed4eaa16a934c42e173a588a0
pluskal_mce_1D1_B11_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_B11_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_B11_id.mzML,1,d8b6a7acc8a11f055c37031807877500d08e4f8f8c150a6856074b6295c070f5
pluskal_mce_1D1_B17_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_B17_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_B17_id.mzML,1,2f930d1edd3d734c0e7687d7669ce7bae5a4bb8479908160d89d6d4e99507d63
pluskal_mce_1D1_B8_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,1,ad4924e74b159bd3faa19a7d40832cf05527967afc4f846f778da5284f30108e
pluskal_mce_1D1_B9_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_B9_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_B9_id.mzML,1,babff6c70e0b797e164982ac1d5056b2f1bf8f80fb787fce2533abc5822a8b57
pluskal_mce_1D1_C10_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_C10_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_C10_id.mzML,1,13f44f2654143e65404a7c701b5cd3cf42739726963f9f84667eeba344d68904
pluskal_mce_1D1_C12_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_C12_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_C12_id.mzML,1,84c13e647a8071368ea1fecbeb9e59f96ffb15e4ec6a08a30b9885d7ccf4e985
pluskal_mce_1D1_C15_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_C15_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_C15_id.mzML,1,cde314e15cc524b83b4dfa293a3f2a69ee122a2003c83bb79f410764362272f3
pluskal_mce_1D1_C1_id,20220601_mzml_mce_bioactive_positive.zip,20220613_100AGC_60000Res_pluskal_mce_1D1_C1_id.mzML,20220613_100AGC_60000Res_pluskal_mce_1D1_C1_id.mzML,1,7cd0d0715af0bdd677b4007b28bc4cb60ef091cfd33d89ee2ca6c2e6759102b4
