key,energy,mu,n_spectra
AACWHNWGNNQFNJ,20.0,0.8119689503439608,2
AACWHNWGNNQFNJ,60.0,0.27253112760153375,2
AAMBVCCBNOIXNL,20.0,0.9594463276542792,2
AAMBVCCBNOIXNL,60.0,0.46767555400969385,2
AASLFELHFOYXIN,20.0,0.564550651149324,1
AASLFELHFOYXIN,60.0,0.35143572303654824,1
AAVLZVTZNNAASM,20.0,0.617596495995954,1
AAVLZVTZNNAASM,60.0,0.33369769470710386,1
ABCQZMQEKXPIFP,20.0,0.531207525185864,1
ABCQZMQEKXPIFP,60.0,0.3932612304331639,1
ABGZKYLUNKBOCQ,20.0,0.6064368180664236,2
ABGZKYLUNKBOCQ,60.0,0.3434821808665399,1
ABJVQMQZVOYUMQ,20.0,0.8913352489066338,1
ABJVQMQZVOYUMQ,60.0,0.5599004419414192,1
ABYOVIVWKRGMMX,20.0,0.35503081361503463,1
ABYOVIVWKRGMMX,60.0,0.3020768809078684,1
ACKAGGWASQAMJO,20.0,0.43167098274835286,1
ACKAGGWASQAMJO,60.0,0.34599639437813406,1
ACSALFRZGTUHRF,20.0,0.699836541177928,1
ACSALFRZGTUHRF,60.0,0.34134431768210804,1
ADCLVWNNQHSMHA,20.0,0.853961082633832,4
ADCLVWNNQHSMHA,60.0,0.28358696816486817,4
ADMHNFPUCOWXKY,20.0,0.890566487667573,2
ADMHNFPUCOWXKY,60.0,0.4260881155045487,2
AEKCMFYYTJHRPX,20.0,0.4458983732418173,2
AEKCMFYYTJHRPX,60.0,0.3444436454014519,2
AEOBGWSMUHRGAG,20.0,0.9816508219065023,2
AEOBGWSMUHRGAG,60.0,0.5252149653553198,2
AETDGIHVYFQVFV,20.0,0.7690422728971544,1
AETDGIHVYFQVFV,60.0,0.43450451671474793,1
AEUAVVIPDJTEFS,20.0,0.2581611454338327,1
AEUAVVIPDJTEFS,60.0,0.1152146171560283,1
AEXKXNVKAQMLHR,20.0,0.8680245173076805,2
AEXKXNVKAQMLHR,60.0,0.43212553091108485,2
AFFVCIJVIYYBIN,20.0,0.6613737420700285,2
AFFVCIJVIYYBIN,60.0,0.49402181249695976,2
AFGMKVWFQDNIAA,20.0,0.7757379572246983,3
AFGMKVWFQDNIAA,60.0,0.40953549810811674,3
AFTZZRFCMOAFCR,20.0,0.8317783217463958,3
AFTZZRFCMOAFCR,60.0,0.6705335503466278,3
AGIADZBLVQXLTJ,20.0,0.7892832801907922,2
AGIADZBLVQXLTJ,60.0,0.3309173851055932,2
AGJDUHGLFBOFPB,20.0,0.5288548853575279,2
AGJDUHGLFBOFPB,60.0,0.37796365653578995,2
AGULBBVQCXSNNC,20.0,0.7477670617125245,2
AGULBBVQCXSNNC,60.0,0.4628370041787915,2
AGXCELDCMBHOOZ,20.0,0.8276120476329164,2
AGXCELDCMBHOOZ,60.0,0.41891022912149767,2
AHBINDFMTBIHGC,20.0,0.6292998364918561,2
AHBINDFMTBIHGC,60.0,0.4496326735734233,2
AHMBZXRATZXNBV,20.0,0.49494413681895066,1
AHMBZXRATZXNBV,60.0,0.22765038584803812,1
AHVXEXDRYIGQKJ,20.0,0.7104300027765205,2
AHVXEXDRYIGQKJ,60.0,0.28374070000435236,2
AIAACORTNIPHEO,20.0,0.9833253477234676,2
AIAACORTNIPHEO,60.0,0.5688407930761589,2
AJCRDNMGBHSJBI,20.0,0.7179214927019887,2
AJCRDNMGBHSJBI,60.0,0.3249255663164091,2
AJCTXKDDRHDHGM,20.0,0.6032240100749576,2
AJCTXKDDRHDHGM,60.0,0.2841203453205345,2
AJEBWVIODHBWMC,20.0,0.5002935228652856,2
AJEBWVIODHBWMC,60.0,0.3260986608430053,2
AJGYYVGRMFTRGQ,20.0,0.4726669486385887,3
AJGYYVGRMFTRGQ,60.0,0.3136238709384537,3
AJOLYOGWPCFLQD,20.0,0.7930122388697165,2
AJOLYOGWPCFLQD,60.0,0.2862269906407403,2
AJZMFVCWPFPTHP,20.0,0.5936226022974156,1
AJZMFVCWPFPTHP,60.0,0.329135251277374,1
ALAXZPRHGHORDZ,20.0,0.48681200089911747,2
ALAXZPRHGHORDZ,60.0,0.27799972921893584,2
ALJIEVIJBAJISI,20.0,0.5412046238978513,2
ALJIEVIJBAJISI,60.0,0.3100628115381401,2
ALLGSQDOOOGRKB,20.0,0.6505307809448466,2
ALLGSQDOOOGRKB,60.0,0.3146993822942843,2
ALMZCCVRQHVXAX,20.0,0.6074826623149059,2
ALMZCCVRQHVXAX,60.0,0.34318462773274094,2
ALSIZUAFMUZUOV,20.0,0.7237930812656637,2
ALSIZUAFMUZUOV,60.0,0.42910382433426386,2
ALVBIHZEKFWBCV,20.0,0.9811532250449599,2
ALVBIHZEKFWBCV,60.0,0.7020245554256666,2
AMCUCBQXISECBL,20.0,0.4097477704722799,2
AMCUCBQXISECBL,60.0,0.36008087075506845,2
ANFBRAQJVYLHHJ,20.0,0.6550220359174521,2
ANFBRAQJVYLHHJ,60.0,0.4411122040288663,2
ANRVPJVYTSFHFM,20.0,0.9260081327820602,2
ANRVPJVYTSFHFM,60.0,0.397082065310841,2
ANXUAMWXFVTWBE,20.0,0.9302799138126023,2
ANXUAMWXFVTWBE,60.0,0.5411607259931766,2
AOGRUJLABMMZIL,20.0,0.5922584582390644,2
AOGRUJLABMMZIL,60.0,0.3981218679687556,2
APCIMZLNBOXVEP,20.0,0.5191753313251214,2
APCIMZLNBOXVEP,60.0,0.4290473854161998,2
