key,energy,file,spectrum_id,mu,n_peaks
AFTZZRFCMOAFCR,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,controllerType=0 controllerNumber=1 scan=1097,0.787273930274741,16
AFTZZRFCMOAFCR,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,controllerType=0 controllerNumber=1 scan=1099,0.6720180621620288,19
AFTZZRFCMOAFCR,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,controllerType=0 controllerNumber=1 scan=191,0.8646641432599018,33
AFTZZRFCMOAFCR,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,controllerType=0 controllerNumber=1 scan=193,0.6562590186253181,90
YAFQFNOUYXZVPZ,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,controllerType=0 controllerNumber=1 scan=400,0.8491462872360668,49
YAFQFNOUYXZVPZ,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,controllerType=0 controllerNumber=1 scan=402,0.4327831239936197,91
AFTZZRFCMOAFCR,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,controllerType=0 controllerNumber=1 scan=743,0.8317783217463958,16
AFTZZRFCMOAFCR,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A11_id.mzML,controllerType=0 controllerNumber=1 scan=745,0.6705335503466278,26
QZMAOGLWCNTFCG,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,controllerType=0 controllerNumber=1 scan=156,0.5353349611143371,12
QZMAOGLWCNTFCG,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,controllerType=0 controllerNumber=1 scan=158,0.407950322491229,32
UJGTUKMAJVCBIS,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,controllerType=0 controllerNumber=1 scan=229,0.6509169482672728,27
UJGTUKMAJVCBIS,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,controllerType=0 controllerNumber=1 scan=231,0.30912229578722744,105
QZMAOGLWCNTFCG,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,controllerType=0 controllerNumber=1 scan=723,0.49751567088651755,18
QZMAOGLWCNTFCG,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,controllerType=0 controllerNumber=1 scan=752,0.4102986044233052,16
UJGTUKMAJVCBIS,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,controllerType=0 controllerNumber=1 scan=775,0.6289293967330817,19
UJGTUKMAJVCBIS,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A18_id.mzML,controllerType=0 controllerNumber=1 scan=777,0.3115784214950985,28
CYVVJSKZRBZHAV,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A2_id.mzML,controllerType=0 controllerNumber=1 scan=238,0.9822526652906358,19
CYVVJSKZRBZHAV,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A2_id.mzML,controllerType=0 controllerNumber=1 scan=240,0.5547036624776067,94
CYVVJSKZRBZHAV,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A2_id.mzML,controllerType=0 controllerNumber=1 scan=849,0.9648776385615447,12
CYVVJSKZRBZHAV,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_A2_id.mzML,controllerType=0 controllerNumber=1 scan=881,0.5377983549699481,28
WTLRSSATGYETCG,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,controllerType=0 controllerNumber=1 scan=213,0.8085853417760812,26
WTLRSSATGYETCG,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,controllerType=0 controllerNumber=1 scan=215,0.23839130361047378,35
RQCXKDWOCUJWQZ,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,controllerType=0 controllerNumber=1 scan=325,0.9374446732764786,19
RQCXKDWOCUJWQZ,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,controllerType=0 controllerNumber=1 scan=327,0.7146004150357957,78
WTLRSSATGYETCG,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,controllerType=0 controllerNumber=1 scan=792,0.7128575656043521,14
WTLRSSATGYETCG,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,controllerType=0 controllerNumber=1 scan=794,0.24990479646841837,20
RQCXKDWOCUJWQZ,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,controllerType=0 controllerNumber=1 scan=805,0.8603697053005904,10
RQCXKDWOCUJWQZ,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B8_id.mzML,controllerType=0 controllerNumber=1 scan=807,0.6803828720238102,28
PAOANWZGLPPROA,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B9_id.mzML,controllerType=0 controllerNumber=1 scan=158,0.6309447235969905,17
PAOANWZGLPPROA,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B9_id.mzML,controllerType=0 controllerNumber=1 scan=160,0.2853529404847957,33
PAOANWZGLPPROA,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B9_id.mzML,controllerType=0 controllerNumber=1 scan=666,0.587358881489588,15
PAOANWZGLPPROA,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_B9_id.mzML,controllerType=0 controllerNumber=1 scan=668,0.28889395198906515,27
ZDBWLRLGUBSLPG,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_C12_id.mzML,controllerType=0 controllerNumber=1 scan=157,0.2813084621348491,19
ZDBWLRLGUBSLPG,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_C12_id.mzML,controllerType=0 controllerNumber=1 scan=159,0.16574755993683907,27
ZDBWLRLGUBSLPG,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_C12_id.mzML,controllerType=0 controllerNumber=1 scan=699,0.30273531172140283,17
ZDBWLRLGUBSLPG,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_C12_id.mzML,controllerType=0 controllerNumber=1 scan=701,0.17139056261177782,31
FJCDSQATIJKQKA,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_C9_id.mzML,controllerType=0 controllerNumber=1 scan=267,0.7240375611643584,33
FJCDSQATIJKQKA,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_C9_id.mzML,controllerType=0 controllerNumber=1 scan=269,0.5477654040613695,160
FJCDSQATIJKQKA,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_C9_id.mzML,controllerType=0 controllerNumber=1 scan=735,0.7138287028457492,9
FJCDSQATIJKQKA,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_C9_id.mzML,controllerType=0 controllerNumber=1 scan=737,0.5649716821995684,25
NRBNGHCYDWUVLC,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D1_id.mzML,controllerType=0 controllerNumber=1 scan=239,0.9903558286796834,27
NRBNGHCYDWUVLC,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D1_id.mzML,controllerType=0 controllerNumber=1 scan=297,0.6690448799628309,82
NRBNGHCYDWUVLC,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D1_id.mzML,controllerType=0 controllerNumber=1 scan=836,0.9856844746554008,12
NRBNGHCYDWUVLC,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D1_id.mzML,controllerType=0 controllerNumber=1 scan=838,0.6592226167396937,31
XIJHWXXXIMEHKW,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D6_id.mzML,controllerType=0 controllerNumber=1 scan=204,0.4366241721254135,70
XIJHWXXXIMEHKW,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D6_id.mzML,controllerType=0 controllerNumber=1 scan=206,0.17659753865930053,94
AXPZIVKEZRHGAS,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D6_id.mzML,controllerType=0 controllerNumber=1 scan=561,0.4455816316495594,21
AXPZIVKEZRHGAS,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D6_id.mzML,controllerType=0 controllerNumber=1 scan=563,0.3434776286701151,31
XIJHWXXXIMEHKW,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D6_id.mzML,controllerType=0 controllerNumber=1 scan=703,0.40994355138455124,26
XIJHWXXXIMEHKW,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_D6_id.mzML,controllerType=0 controllerNumber=1 scan=705,0.1813782102964643,27
SFNSLLSYNZWZQG,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_E18_id.mzML,controllerType=0 controllerNumber=1 scan=328,0.3805966231485435,29
SFNSLLSYNZWZQG,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_E18_id.mzML,controllerType=0 controllerNumber=1 scan=368,0.26035757164429524,34
SDVKTCLBCCAFIS,20.0,20220613_100AGC_60000Res_pluskal_mce_1D1_E18_id.mzML,controllerType=0 controllerNumber=1 scan=529,0.35163719976411045,37
SDVKTCLBCCAFIS,60.0,20220613_100AGC_60000Res_pluskal_mce_1D1_E18_id.mzML,controllerType=0 controllerNumber=1 scan=531,0.2763771117249848,68
