"ID","Name","SMILES","CAS","RT"
44,"Pirimicarb","CN(C)C(=O)OC1=C(C)C(C)=NC(=N1)N(C)C","23103-98-2",NA
52,"Thiacloprid","ClC1=CC=C(CN2CCS\C2=N/C#N)C=N1","111988-49-9",NA
55,"Cybutryne","CSC1=NC(NC(C)(C)C)=NC(NC2CC2)=N1","28159-98-0",NA
282,"Norgestrel","CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C","",NA
289,"Pioglitazone hydrochloride","CCC1=CN=C(CCOC2=CC=C(CC3SC(=O)NC3=O)C=C2)C=C1","",NA
293,"Pirinixic acid","CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1","",NA
303,"2-[4-(Diethylamino)-2-hydroxybenzoyl]benzoic acid","CCN(CC)C1=CC(O)=C(C=C1)C(=O)C1=C(C=CC=C1)C(O)=O","",NA
309,"3-chloro-2-hydroxypropane-1-sulfonate","OC(CCl)CS(O)(=O)=O","",NA
310,"Ingliforib","O[C@H]([C@H](CC1=CC=CC=C1)NC(=O)C1=CC2=CC(Cl)=CC=C2N1)C(=O)N1C[C@H](O)[C@H](O)C1","",NA
329,"N-Methylphthalimide","CN1C(=O)C2=C(C=CC=C2)C1=O","",NA
331,"Pyridaben","CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O","",NA
334,"2,4-DB","OC(=O)CCCOC1=CC=C(Cl)C=C1Cl","",NA
341,"SB281832","OCC(CO)N1C=NC(=C1C1=CC=NC(OC2=CC=CC=C2)=N1)C1=CC=C(F)C=C1","",NA
342,"MK-274","NC(=O)C1=NC(=NN1)C1=CC=CC(=C1)C1=CC(F)=CC=C1OCC(F)(F)C(F)(F)F","",NA
344,"Benzoic acid","OC(=O)C1=CC=CC=C1","",NA
354,"2,4-D-methyl","COC(=O)COC1=C(Cl)C=C(Cl)C=C1","",NA
358,"Atorvastatin","CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(O)=O","",NA
360,"1,3-Dipropan-2-ylurea","CC(C)NC(=O)NC(C)C","",NA
368,"Endothal","OC(=O)C1C2CCC(O2)C1C(O)=O","",NA
379,"tau-Fluvalinate","CC(C)[C@@H](NC1=C(Cl)C=C(C=C1)C(F)(F)F)C(=O)OC(C#N)C1=CC(OC2=CC=CC=C2)=CC=C1","",NA
