fold,arm,P1,E30,E45,E60,E75,E90
0,B0,0.15461922220279417,0.17616682373263307,0.16380103242496616,0.15151478516442793,0.14259134393913572,0.13591804754358208
0,ridge_g,0.12489241136660179,0.17183204242274389,0.14064902611244642,0.10831735230304199,0.09561204303623912,0.08930371651047739
0,oracle_g_frozen_grid,0.05197787799286515,0.0711117267719338,0.03914485070629633,0.038054478596644126,0.04949679504229945,0.055150726736675426
0,oracle_g_wide_grid,0.05184810325966456,0.07047387467443397,0.03848049762839368,0.03799570912581173,0.049838600310400674,0.055547948845122284
0,oracle_g_and_shape,0.024612649472101004,0.03208753231563862,0.025763457506843616,0.020973412308758415,0.019070786495559974,0.023174214969315883
0,_loggerr_sd_ridge_vs_oracle,0.41943059890922035,0.6465858292978168,,,,
0,_loggerr_sd_oracle_frozen_vs_wide,0.041016585552965217,0.00546448087431694,,,,
1,B0,0.17795771811281658,0.21906823599591205,0.20315001206060007,0.17333793497530164,0.14814246722214353,0.13098124519279128
1,ridge_g,0.13264666259422542,0.18156674418161367,0.1480359206838568,0.12066534267591292,0.10279297906241813,0.08952427360532828
1,oracle_g_frozen_grid,0.054346333864165056,0.07510860301597676,0.04180479550016176,0.04414371717879039,0.050830143542166056,0.05337372698378474
1,oracle_g_wide_grid,0.05391550876286132,0.07377141564182865,0.0406037048559279,0.0445463473435903,0.0509732404854266,0.053506292014283044
1,oracle_g_and_shape,0.02364600255844058,0.024477407969219996,0.027529530718098265,0.022750588907827045,0.018446897879610527,0.024129247662132664
1,_loggerr_sd_ridge_vs_oracle,0.4969539143187676,0.719426659346762,,,,
1,_loggerr_sd_oracle_frozen_vs_wide,0.0852619744234765,0.013157894736842105,,,,
2,B0,0.1964398851908875,0.2286543033313404,0.22400536506116342,0.19122058283770516,0.1710994498259126,0.1569340757518121
2,ridge_g,0.13683348682114171,0.1774511280812891,0.15911188587541977,0.12398929229510446,0.10770243342260692,0.0990773529439548
2,oracle_g_frozen_grid,0.04613898350292213,0.06005887600949079,0.04494281142889895,0.03183781983427275,0.044647131386435474,0.04475214432153073
2,oracle_g_wide_grid,0.044951875107394276,0.05881121581028014,0.04179145690328314,0.030299716004459184,0.04438900653714616,0.04474773486753941
2,oracle_g_and_shape,0.023214847685165328,0.02288154533545871,0.026219994496588662,0.020315863973818394,0.022131879379924654,0.024087504932881025
2,_loggerr_sd_ridge_vs_oracle,0.5468125064477666,0.7625050077117003,,,,
2,_loggerr_sd_oracle_frozen_vs_wide,0.09838079599949373,0.046052631578947366,,,,
3,B0,0.1740209679138586,0.21049367283688586,0.19884994578019657,0.17068819430202048,0.14588633183978528,0.130901494839725
3,ridge_g,0.13410615657208103,0.17377222235811093,0.15157392101856984,0.1291426465636256,0.10698219436113403,0.092793651067862
3,oracle_g_frozen_grid,0.0549696919366719,0.0731550988997092,0.04838890838281697,0.04574220960981447,0.049485449723973576,0.053495727633930956
3,oracle_g_wide_grid,0.05401194038435545,0.07117922436094964,0.04596370542914862,0.04558712023081031,0.04915951159783059,0.05386483423489584
3,oracle_g_and_shape,0.025886733381330615,0.02155856055336519,0.034072937315518255,0.02736274789116374,0.018805194573703266,0.024971125152356204
3,_loggerr_sd_ridge_vs_oracle,0.5168846614765755,0.705641797533214,,,,
3,_loggerr_sd_oracle_frozen_vs_wide,0.10414805040719859,0.03289473684210526,,,,
4,B0,0.20149455827409293,0.2315905799981694,0.21801379375916044,0.19911876675113077,0.18402272859273416,0.16791230518371017
4,ridge_g,0.14195597843469385,0.17720350659354725,0.15600525898151382,0.13232167573671644,0.12074265207593804,0.11321713015466421
4,oracle_g_frozen_grid,0.04991261957128485,0.06894838994740621,0.041008790833369065,0.038466849529755154,0.043429663192547256,0.051271614796294086
4,oracle_g_wide_grid,0.04758189810803557,0.06631474912909359,0.03582951282345018,0.035218141531227,0.0421386136566141,0.050966779888798865
4,oracle_g_and_shape,0.02666455470562559,0.034603513075352414,0.0252704672963929,0.01960514311615785,0.022087853020735976,0.029013100012904802
4,_loggerr_sd_ridge_vs_oracle,0.5879102366631831,0.7583265325151031,,,,
4,_loggerr_sd_oracle_frozen_vs_wide,0.16060036113005857,0.07894736842105263,,,,
