group_key,s0,da,db,dk,dall
AAGFPTSOPGCENQ,0.007782676006382608,0.0047231581901891,0.003779636480982994,0.00683285769773782,0.007698801471589177
ADWTYURAFSWNSU,0.026605718160846628,0.020305286793521338,0.02503749750736112,0.025613368982223127,0.02607907367632582
AEKQMJRJRAHOAP,0.009248179970627593,0.004314176228070231,0.00028615756175939984,0.004139324354644386,0.009001124061368874
AEOCXXJPGCBFJA,0.003881177703801954,0.0011400230754640183,0.0037083307988166987,0.0030201184004818235,0.0038801261116528873
AFAIELJLZYUNPW,0.00807826159247824,2.5261695746851137e-06,0.0041330427935851125,0.0018650521667855254,0.00799836121405344
AFYCEAFSNDLKSX,0.005801202843398834,0.002602140009419181,0.005655662030227567,0.00512243726357442,0.005705115363597699
AGOYDEPGAOXOCK,0.12958519996863285,0.11632559916884742,0.12916650193968504,0.0008054583211193067,0.12954021340396973
AHMMSNQYOPMLSX,0.022381812124829852,0.0138536477382215,0.02201084096131401,0.0005053107579446985,0.022356289798441804
AHOUBRCZNHFOSL,0.007662207435638037,0.0007422392973852679,0.007384874351105702,0.005113219347410316,0.007660947862754485
AKNNEGZIBPJZJG,0.0796106394792799,0.07614481263233734,0.07836478743141267,0.07880743397228364,0.07896534095566261
AKNQMEBLVAMSNZ,0.05344904871637547,0.040439626526586364,0.052899917614194734,0.04924816298225788,0.053103802399059534
ALZOLUNSQWINIR,0.02949541573382674,0.010927239541399451,0.02378263833090294,0.020295933684112068,0.02470418675630582
AMEKQAFGQBKLKX,0.04141306090969628,0.004722170375208945,0.010450751644739263,0.0005546412290912267,0.0412722308901905
AMFGTOFWMRQMEM,0.015189776090411555,0.01486598613435841,0.009327769339741668,0.013177851127769315,0.015184850807491828
AMRQXHFXNZFDCH,0.2025410105189871,0.194493564662934,0.19427035082689123,0.189898090213941,0.19975396769242987
ANJTVLIZGCUXLD,0.003872143450473528,0.00047893871942903884,0.003484262625105208,0.002218209943764461,0.003854363131012101
AQHHHDLHHXJYJD,0.006221717261913426,9.913043555677056e-05,0.004159370058890817,0.001206548803901965,0.006215421826593667
AQSQFWLMFCKKMG,0.0004976623415728957,0.0003829842113678348,0.0004480117096128312,0.0004719570235161959,0.0004976373624908164
ASDAXOTYWQZBDR,0.017674897643973113,0.0024055157720107353,0.014541725981869816,0.013839238948559839,0.017645607728917295
ASOKPJOREAFHNY,0.004662333447953486,0.0027490897944665088,0.004315462762867541,0.004154029015578456,0.004616890139834947
ATROHALUCMTWTB,0.0006851630657341429,0.00031654747241923424,2.831992611218169e-06,0.00017636084614672622,0.0006810515801357208
ATWWYGQDYGSWQA,0.017200166129197177,0.014257899758959507,0.014221621499404227,0.01666215640338551,0.016739317677182574
AUFSOOYCQYDGES,0.13275686212737697,0.1322096123829357,0.1323294052824325,0.1326085557743269,0.13260966342291342
AUGQEEXBDZWUJY,0.0012697474241030763,0.0009712838415687385,0.00019480819774662125,0.0007216450037244632,0.0012673275804416751
AUMLVMKWJGCERZ,0.0005710815386428953,0.0004767088236809228,0.0002640779410087917,0.000451768763769924,0.0005233491537784667
AUQAUAIUNJIIEP,0.06576971658889141,0.06366021352617902,0.06371445696915128,0.06575650545846272,0.06575868351871961
AWYOMXWDGWUJHS,0.009603686933210471,0.007974759309120508,0.006223939296383676,0.008799042292493307,0.009146997258046335
AWZOLILCOUMRDG,0.0010642518192836591,0.00036636631549338383,0.00101692969227207,0.0006703016802402807,0.0010310673557820198
BACYUWVYYTXETD,0.0012668629325940132,3.3087775169553767e-07,0.0006864428878486411,3.9315424246888974e-05,0.0012590601608262
BAFQDKPJKOLXFZ,0.004264146418181782,0.003130419332647882,0.003544226251998091,0.0038373434330134927,0.0042312618538259735
