group_key,s0,da,db,dk,dall
AAGFPTSOPGCENQ,0.01873549698644979,0.009723871530104558,0.00734398888426795,0.015359635941479485,0.018618595120359405
ADWTYURAFSWNSU,0.016084261264023954,0.005046381952297233,0.013393274357003146,0.012512248251663586,0.014370313050087952
AGOYDEPGAOXOCK,0.11113468810609403,0.07903176353693564,0.11019605526271327,0.001662656243467786,0.11107642237534328
AHMMSNQYOPMLSX,0.015015241260459979,2.4301055358739304e-05,0.013520223710671173,0.0016564948222486907,0.014873393916017651
AHOUBRCZNHFOSL,0.010831364154768586,0.0038576163484419345,0.005648281013587954,0.010715628754565977,0.010830515915273647
AKNNEGZIBPJZJG,0.07600708796368572,0.06548483871726321,0.07097543200223297,0.07299541229987387,0.07328681315346029
AKNQMEBLVAMSNZ,0.08277043072858939,0.06570146980495678,0.08220904780808098,0.07878383906137788,0.0823079258480364
AMEKQAFGQBKLKX,0.06549994710712936,0.011026408810459326,0.020060764290181297,0.001630494666370691,0.06515262598245276
AMFGTOFWMRQMEM,0.05572027156207787,0.05547751795486557,0.04437098637473591,0.05248454494512761,0.0556812474077107
ANJTVLIZGCUXLD,0.005284544287996172,0.0005535119425991763,0.002086508250107667,0.0004571708625111708,0.005214622066423306
AQHHHDLHHXJYJD,0.033819661341840584,0.003892533730797846,0.012264939226729513,0.00047348901468018123,0.033246697845886485
ASDAXOTYWQZBDR,0.036080450798802684,0.010443403581421009,0.015297027736225918,0.035603144358882385,0.03595373111538686
ATROHALUCMTWTB,0.005861371648369066,0.00563461727568302,0.003340229824931066,0.004976164821417618,0.005826982946905731
ATWWYGQDYGSWQA,0.008595259549324412,0.002741241277502131,0.006780470070670428,0.0068085776425273765,0.007718744584143104
AUFSOOYCQYDGES,0.14604045843524338,0.14467532379074963,0.14258320975477132,0.14499835469390848,0.14524561549155154
AUGQEEXBDZWUJY,0.007769992611850702,0.007644899532893494,0.005176801374599971,0.007364660107555964,0.007766201121659931
AUQAUAIUNJIIEP,0.08118028678303006,0.0776458692266835,0.07508312515591382,0.0810270590543303,0.08115715643730378
AWZOLILCOUMRDG,0.004924121266174044,0.0005184115262524443,0.004419657355330613,0.001991004875590106,0.00489146511069374
BAFQDKPJKOLXFZ,0.003750375128304993,0.0014583293219269833,0.003183218103181366,0.002682027459715253,0.003522456254270458
BBXXLROWFHWFQY,0.02413915204479989,0.010712950708280034,0.014176418851757959,0.023008813793262167,0.024058815922592982
BCTQJXQXJVLSIG,0.016892086415627942,0.009271146315585394,0.015551346347164069,0.014794655044256675,0.0159852488099533
BEAXWKCHSPVXQB,0.07353166217047054,0.06372309577571428,0.07241267621945321,0.0021363649815152597,0.07351854566938734
BEZZFPOZAYTVHN,0.02320331861904786,0.006570918225561211,0.021213805831074736,0.017572548391185976,0.021784540716661034
BHHGXPLMPWCGHP,0.028207567879464802,0.027938120766489022,0.01730675437965574,0.025587019204725232,0.028093998144448438
BIXJFIJYBLJTMK,0.02775726452030421,0.00015563851584919283,0.020656176470282082,0.010901720132082838,0.02764379143845234
BJQHLKABXJIVAM,0.011293127391976188,0.010303928854698666,0.00835267374272973,0.007302305923209865,0.011256783066766345
BLGXFZZNTVWLAY,0.010354268597212187,9.671581361284792e-07,0.007740101715862305,0.0035844084879246294,0.010321631966606338
BMLIZLVNXIYGCK,0.02235155971694707,0.0016828730401129213,0.017639567634745515,0.009100136528103904,0.022231875449646114
BOFHKBLZOYVHSI,0.003875012762176936,0.002839248860714404,8.251964953078731e-06,0.0008591011073739298,0.0038064857268558156
BPICBUSOMSTKRF,0.01004734843478574,0.0041561582230182255,0.0009889328605627128,0.00012219773238704781,0.009754588864424358
BQYJATMQXGBDHF,0.03393692512175729,0.03014636832164959,0.013715479029650056,0.02672481608170918,0.03167658640683542
BUGYDGFZZOZRHP,0.009407467201899332,0.004206032298096412,0.008584174986687293,0.007735232608808135,0.009347043474369036
BUXRLJCGHZZYNE,0.028951087291695023,0.02223140115542198,0.025710856940647973,0.0286463419358129,0.02880450462176054
BUYMVQAILCEWRR,0.01835235965706316,0.01825043705841605,0.01797191275623959,0.010616548652659492,0.018325859756750232
BWQSLRZZOVFVHJ,0.011839568176165542,0.004952646883152491,0.000995022126835986,0.0002208689095651896,0.010486942181238598
BXEHUCNTIZGSOJ,0.005646415850276199,9.969675771727676e-05,0.003772144189075291,0.0010840432983666697,0.0054959440163019
BXFOFFBJRFZBQZ,0.004267880184608212,0.002413617597467726,7.600372140007666e-05,0.0014132070336491782,0.004256844155643281
BXNANOICGRISHX,0.025446356707118128,0.02118387651768976,0.012939549964971176,0.021461642694871864,0.02340909173606909
BYYMILHAKOURNM,0.014256344086074587,0.0024299995828289487,0.013421754991169856,0.008000112778315836,0.01421174469532904
CAWXEEYDBZRFPE,0.009237949275373407,0.004168431027990844,0.0005874845947745275,0.0009904816856423186,0.009156416673679628
CCGPUGMWYLICGL,0.011492035739384853,0.0009034738457650883,0.0015771004882254632,0.009070773133723068,0.009333484893423706
CEAZRRDELHUEMR,0.014691807418093951,0.00012506535473290163,0.010429680851779241,0.0011416162711370883,0.014430640907071366
CEEDFYRUPAWDOU,0.06611265501554564,0.05827493713626781,0.06559896931495267,0.0021411278498830177,0.06607518432130542
CEIZFXOZIQNICU,0.0007345764042082149,0.00013029932568714593,0.0006560614800557704,0.00034143770466512187,0.0007318541574989249
CHIFOSRWCNZCFN,0.008220783191978154,0.007655348925125604,0.0012069592674243627,0.005398056519994699,0.00814725807720047
CIEXPHRYOLIQQD,0.0020208868531706387,0.0005585860286774248,7.643068813464968e-05,0.00045105871192885295,0.002016165534112987
CIFWZNRJIBNXRE,0.01325074771735703,0.007576327868534243,0.0026535131803977208,0.007618411374425703,0.012142957400751051
CIGKZVUEZXGYSV,0.0046690279044278235,0.0011336921145589521,0.003475385039882083,0.0026166084445509025,0.004117129656248281
CJHXCRMKMMBYJQ,0.024056110662617897,0.010642964601994397,0.010908493759880743,0.021724237358294693,0.023852032426558718
CJIASZBWXIFQMU,0.11380208832748968,0.09956117354131003,0.1126308315404964,0.002676335113777434,0.11376211094550695
CJJOSEISRRTUQB,0.0058971707169619084,0.002596074984298745,1.1241983360203538e-05,0.001340028486452191,0.005882440627530846
CJPQIRJHIZUAQP,0.023765958626705507,0.021808319003384702,0.021318911123181246,0.023587664230504467,0.023625126729742194
CLSJYOLYMZNKJB,0.0026191890200699844,0.0004321724121318115,0.00038985777986830315,5.633966907505131e-06,0.0021608951520549957
CMGDVUCDZOBDNL,0.008891806004769815,0.000315321940699052,0.006592093718403547,0.004436290729045774,0.008012901430731571
CMWTZPSULFXXJA,0.04694725529460829,0.04498695870814626,0.037897663755391636,0.04599224879251541,0.04693922697964166
COYBRKAVBMYYSF,0.07104417438700467,0.0637532887671921,0.06643085544579251,0.0705570806076204,0.07063338461163893
CPEUVMUXAHMANV,0.019755594332096504,0.00664376666938624,0.007606424525581891,0.01614521539822826,0.018744516183352638
CQIUKKVOEOPUDV,0.004953498966348647,0.0024962054763044226,0.0020212172135868718,0.004080789489932857,0.00493157772535268
CSMYCLLHRFFFLG,0.0033452941727497793,0.0026276336511284457,0.000728970444574293,0.0019459258619863333,0.0029439944104012934
CSWIKHNSBZVWNQ,0.006283162787460474,0.0033531938100989766,0.005774384082514412,0.0053390463289098074,0.006001436252124724
CULUKMPMGVXCEI,0.031973597990669,0.00993839183220684,0.013527090613535499,0.03171709686828894,0.031929829343804915
CXJSOEPQXUCJSA,0.032828943940213774,0.028730065282284695,0.008422760531549646,0.022029963209172058,0.0323609732218881
