group_key,a,b,m,k,rmse,mu_lo,mu_hi,rng,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source,g_hat
AAGFPTSOPGCENQ,0.9981461530553074,0.35882088681262986,3.8402430936496033,4.65425145393674,0.004414028131808605,0.9916087860529552,0.3837198098645898,0.6078889761883655,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,247.180969238281,40.0,0.0,4.0,0.0,6.0,23.550000000000004,0.1666666666666666,2.0,1.0,0.0,0.0,WUR,2.2796212482546476
ADWTYURAFSWNSU,1.0499999999999998,0.3472543722802724,3.3299943635705884,1.8259898716539957,0.016901421113440295,0.8924489782548733,0.4054730861069501,0.48697589214792325,O=C1NCCN1Cc1cccnc1,212.058654785156,24.0,2.0,2.0,1.0,6.0,45.23,0.3571428571428571,3.0,1.0,0.0,1.0,WUR,1.664186717006099
AGOYDEPGAOXOCK,1.0499999999999994,0.07913430216895621,1.8896972965671688,1.4040729659783977,0.003116240543525116,0.3134798389459353,0.1015260593902177,0.2119537795557176,O=C1CCCCOC(=O)C[C@@H](O[C@H]2CCCCO2)C[C@@H](O[C@H]2CCCCO2)CCC1,748.484741210938,121.0,8.0,3.0,0.0,5.0,182.91,0.2692307692307692,1.0,13.0,0.0,0.0,WUR,0.1997302874740931
AHMMSNQYOPMLSX,1.0499999999938756,0.15254274658477626,1.56976152998494,0.9648190694851395,0.004862224167642523,0.378417809322549,0.1958172254534995,0.18260058386904948,O=C1C=CC2C(=C1)CC[C@H]1[C@@H]3CCCC3CC[C@H]21,453.336151123047,77.0,10.0,4.0,0.0,9.0,43.370000000000005,0.0909090909090909,0.0,3.0,0.0,0.0,WUR,0.2111930776620423
AHOUBRCZNHFOSL,1.008909598999339,0.26733353842474494,3.0643318259600916,3.3421490193437267,0.00037599634194558613,0.8360289647086279,0.2737481307959024,0.5622808339127254,c1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,330.150115966797,44.0,4.0,4.0,2.0,10.0,39.72,0.2083333333333333,1.0,3.0,0.0,1.0,WUR,0.8915512760033997
AKNNEGZIBPJZJG,1.0499999999999998,0.3666217961877574,2.835690543401581,1.0792183996175828,0.02129270144995976,0.7423079751532705,0.4407136171091259,0.30159435804414464,O=C1O[C@H]([C@@H]2NCCc3cc4c(cc32)OCO4)c2ccccc21,414.15478515625,53.0,4.0,5.0,2.0,12.0,75.69000000000001,0.2666666666666666,1.0,7.0,0.0,0.0,WUR,1.6358595241305929
AKNQMEBLVAMSNZ,1.0499999999999998,0.47848007807777854,2.6470733271303053,2.0562070299188995,0.008779757784747079,0.7476933911323421,0.4755481389307867,0.27214525220155544,c1ccc(C2(Cn3cncn3)OCCO2)cc1,300.030242919922,30.0,3.0,3.0,2.0,8.5,49.17,0.3684210526315789,3.0,2.0,0.0,2.0,WUR,1.6238771709438913
AMEKQAFGQBKLKX,0.6534200571708474,0.15024731514494982,3.8629845968855654,5.359389436855339,0.007608341088039897,0.6599983330638448,0.1724659095267035,0.4875324235371413,O=C(Nc1ccccc1)C1=COCCS1(=O)=O,268.063995361328,31.0,2.0,2.0,1.0,9.0,72.47,0.3333333333333333,1.0,4.0,1.0,0.0,WUR,0.9570393432232512
AMFGTOFWMRQMEM,0.5850585068864796,5.674282104264348e-11,4.701722254318735,1.376208147914835,0.0025502991428063867,0.5510605931542866,0.3331880689057268,0.2178725242485598,c1ccc(-n2cncn2)cc1,314.072418212891,36.0,7.0,2.0,2.0,8.5,58.4,0.4,3.0,3.0,1.0,0.0,WUR,0.8163259005044687
ANJTVLIZGCUXLD,1.0011706770343565,0.43480132740131755,3.6679481034985053,3.337908583129105,0.0034137521285914543,0.9783819234526367,0.4637584710970308,0.5146234523556059,O=c1cccc2n1C[C@@H]1CNC[C@H]2C1,191.117904663086,28.0,0.0,3.0,1.0,7.0,34.03,0.2142857142857142,2.0,1.0,0.0,0.0,WUR,2.2559358958566755
