group_key,a,b,m,k,rmse,mu_lo,mu_hi,rng,scaffold_group,precursor_mz,total_atom_count,rotatable_bonds,ring_count,aromatic_ring_count,rdbe,tpsa,heteroatom_fraction,n_N,n_O,n_S,n_halogen,source,g_hat
AEKQMJRJRAHOAP,1.004599739415486,0.37996217501776924,3.7281876940868006,6.098641080938726,0.009714778863653146,0.9983097585013284,0.3716633589788305,0.6266463995224979,O=C1[C@@H](Cc2c[nH]cn2)CCc2cc3ccccc3n21,294.1601,41.0,2.0,4.0,3.0,12.5,50.68,0.1818181818181818,3.0,1.0,0.0,0.0,LCSB,1.0862979613339507
AEOCXXJPGCBFJA,0.9886126406420221,0.693436365686328,4.125941330153657,4.1847482471865485,0.004534534173529014,0.9826997036574756,0.7430006006443542,0.24038852117056653,c1ccncc1,167.0637,21.0,2.0,1.0,1.0,5.0,38.91,0.2727272727272727,2.0,0.0,1.0,0.0,LCSB,3.12203160869128
AFAIELJLZYUNPW,1.0017842529437302,0.6591175125326635,3.992424372035956,7.119645791507551,0.003828079140174644,0.999928487062143,0.6634760081996239,0.33645247886251906,N=C1C=CC(=C(c2ccccc2)c2ccccc2)C=C1,288.1495,39.0,2.0,3.0,2.0,13.0,75.89,0.1363636363636363,3.0,0.0,0.0,0.0,LCSB,2.499871092745597
AFYCEAFSNDLKSX,0.9954035980625534,0.5530766043679577,4.134663882669992,3.2608085997867122,0.0045617351410895835,0.989506786734822,0.6527034358761099,0.33680335085871205,O=c1ccc2ccccc2o1,232.1332,34.0,3.0,2.0,2.0,8.5,33.45,0.1764705882352941,1.0,2.0,0.0,0.0,LCSB,2.548306958148134
AKNQMEBLVAMSNZ,0.9835535762873568,0.5023363673282593,3.3680411406790554,4.380555749058184,0.0077509616299293585,0.9580698139797303,0.4926621918017418,0.46540762217798853,c1ccc(C2(Cn3cncn3)OCCO2)cc1,300.0301,30.0,3.0,3.0,2.0,8.5,49.17,0.3684210526315789,3.0,2.0,0.0,2.0,LCSB,1.2786125898279257
ALZOLUNSQWINIR,0.9165360255491095,0.52727510050356,3.7044372207001985,5.74104706932373,0.03362588870450933,0.9010094360395768,0.4988946353047511,0.40211480073482575,c1ccc2ncccc2c1,222.0316,23.0,1.0,2.0,2.0,8.5,50.190000000000005,0.2666666666666666,1.0,2.0,0.0,1.0,LCSB,1.4526213678530735
AMFGTOFWMRQMEM,1.0499999999999998,0.32251626118376886,3.069167824335619,2.069847674727656,0.022728869476388382,0.8281337217398119,0.3335372679512182,0.49459645378859374,c1ccc(-n2cncn2)cc1,314.0723,36.0,7.0,2.0,2.0,8.5,58.4,0.4,3.0,3.0,1.0,0.0,LCSB,0.6925239609954948
AMRQXHFXNZFDCH,0.5317261146196517,0.5814861922267383,3.803267132969249,19.999999999999996,0.02907461985126417,0.5655414922989154,0.547310824119637,0.12324858671072203,c1ccccc1,237.1234,33.0,4.0,1.0,1.0,6.0,67.42999999999999,0.2941176470588235,2.0,3.0,0.0,0.0,LCSB,0.8960075729894612
AQHHHDLHHXJYJD,0.9462597772951077,0.38273770178214417,3.3959572825330713,6.126359944618912,0.0019302417913128194,0.9380741288763452,0.3867335274789644,0.5546827325236099,c1ccc2ccccc2c1,260.1645,40.0,6.0,2.0,2.0,7.5,41.489999999999995,0.1578947368421052,1.0,2.0,0.0,0.0,LCSB,0.8182159342444952
AQSQFWLMFCKKMG,0.643718865383482,0.3426202565434344,3.7146486968782773,7.270828649229272,0.006650298542380386,0.6398871294269615,0.3353069066738546,0.30458022275310687,__ACYCLIC__AQSQFWLMFCKKMG,173.1648,32.0,6.0,0.0,0.0,1.0,41.13,0.25,2.0,1.0,0.0,0.0,LCSB,0.6382026778601286
AQYMRQUYPFCXDM,0.5774848057067878,0.3806348414361211,4.1584553145231755,6.97735299981592,0.0007817148691764733,0.5786047109569914,0.3972896449739395,0.18131506598305192,O=C(Nc1ccccc1)c1ccc2ccccc2c1,294.1125,37.0,3.0,3.0,3.0,12.5,58.56,0.1818181818181818,1.0,3.0,0.0,0.0,LCSB,0.6392434211692883
ASOKPJOREAFHNY,0.9476994810282793,0.5952625143068204,4.12929254765835,5.115180801911376,0.0035474147550645994,0.944266307500471,0.6388169540672867,0.30544935343318436,c1ccc2[nH]nnc2c1,136.0505,15.0,0.0,2.0,2.0,7.0,50.94,0.4,3.0,1.0,0.0,0.0,LCSB,2.48640975874078
