fold,model,r2_logg_heldout,r2_logg_frozen_target,spearman,mu_rmse
0,ridge12,0.39433179106886496,0.405117426431268,0.641177069544853,0.12464040118394767
0,ridge12_a10,0.3955611663293064,0.40662614188203183,0.633248611687671,0.12500375484646448
0,ridge_mass3,0.32725383506909234,0.3352949100951643,0.6069526557034058,0.12915055105358558
0,ridge_nonmass9,0.32233816772217205,0.3319857503776267,0.5821262672192331,0.1336877514602719
0,ridge_ext_log_inv,0.3734950895472767,0.3829979174286845,0.6208458327132598,0.12723123124644936
0,ridge_poly2,0.39025183115842343,0.3913842378911958,0.6204405003407143,0.126620877801708
0,hgb,0.3202371741144061,0.3168032929399477,0.555710356862374,0.13493212746257358
0,gbr_small,0.3334342607820545,0.33434473783494323,0.5651708005301929,0.13389838266245596
0,S2A_expr_raw,0.34411107138184693,,0.5994358461142633,0.12737642021646103
0,S2A_expr_recentred,0.4113386916317332,,0.5994358461142633,0.1237217821977488
0,_train_insample_ridge12,0.5596870088177661,,,
0,_oracle_g,1.0,1.0,1.0,0.05184810325966456
0,_B0,0.0,0.0,0.0,0.15461922220279417
0,_ridge12_r2_on_g,0.4857676976616956,,,
0,_hgb_r2_on_g,0.3677283829375384,,,
0,_S2A_expr_r2_on_g,0.4699271952533002,,,
1,ridge12,0.49604750912693596,0.4227631957244533,0.6680210366860023,0.13248540680882295
1,ridge12_a10,0.49522076692735295,0.4218109267682546,0.6672863280235091,0.132787245079428
1,ridge_mass3,0.4580116156574304,0.40521451552331134,0.624833836329772,0.13739950033287293
1,ridge_nonmass9,0.44594848957075606,0.3596774473690867,0.6372680433907937,0.1377415967831461
1,ridge_ext_log_inv,0.516692176196629,0.45400849541585553,0.6724771301552638,0.1300355631550283
1,ridge_poly2,0.4958230827838309,0.4366050392885129,0.6908448467175946,0.1309610805702769
1,hgb,0.5050949192107841,0.4764243335877274,0.6652661615610638,0.1326726167724294
1,gbr_small,0.5187148351458316,0.4878076395890122,0.6685808993298171,0.12975850028712668
1,S2A_expr_raw,0.22452473133736794,,0.5312934632208074,0.15591114048914148
1,S2A_expr_recentred,0.3391955818726945,,0.5312934632208074,0.14776062197795328
1,_train_insample_ridge12,0.5508000950325511,,,
1,_oracle_g,1.0,1.0,1.0,0.05391550876286132
1,_B0,0.0,0.0,0.0,0.17795771811281658
1,_ridge12_r2_on_g,0.5201224250254551,,,
1,_hgb_r2_on_g,0.5097296128506614,,,
1,_S2A_expr_r2_on_g,0.37944196096908256,,,
2,ridge12,0.5456978278235941,0.5145951431839004,0.7303333062870707,0.13681690384613224
2,ridge12_a10,0.5494583637223127,0.518965269639992,0.7330363206949141,0.13585582210307817
2,ridge_mass3,0.48213698685487616,0.448919811580085,0.715669565323744,0.14263660851342355
2,ridge_nonmass9,0.5256613403693953,0.49082854262997366,0.7086523092297544,0.14045478829116503
2,ridge_ext_log_inv,0.5384473895561693,0.5252330275349184,0.73248102380329,0.13722127179428303
2,ridge_poly2,0.5630397668128537,0.5547040267933128,0.7254757399397267,0.1349907011545001
2,hgb,0.5543514486402072,0.5442418572440442,0.7331413423368451,0.13791550902324437
2,gbr_small,0.5219359209396374,0.5116244557536611,0.7046985886060649,0.14173302089495404
2,S2A_expr_raw,0.29285460363367644,,0.6242314424938297,0.16035735050840033
2,S2A_expr_recentred,0.45856098490277475,,0.6242314424938297,0.15111712893804516
2,_train_insample_ridge12,0.5210225239421576,,,
2,_oracle_g,1.0,1.0,1.0,0.044951875107394276
2,_B0,0.0,0.0,0.0,0.1964398851908875
2,_ridge12_r2_on_g,0.5838107843113016,,,
2,_hgb_r2_on_g,0.5883095026746497,,,
2,_S2A_expr_r2_on_g,0.4991013235703209,,,
3,ridge12,0.46957768000114575,0.4389702781245203,0.6716774937505037,0.13394783103077576
3,ridge12_a10,0.4694423793720012,0.4384571510532418,0.6698150927223232,0.1338031971066639
3,ridge_mass3,0.4276683056830941,0.3805726715095661,0.6245251087722615,0.13860238482926948
3,ridge_nonmass9,0.4192801900876918,0.39284430054150254,0.6506283479193581,0.13810585855433188
3,ridge_ext_log_inv,0.4672616582054554,0.4582955245108411,0.6655025237359674,0.13349787800800067
3,ridge_poly2,0.46711476552466424,0.4308422204760297,0.6575266631859246,0.13360327521735046
3,hgb,0.4695208649713176,0.44653916411158123,0.6547302037288734,0.13764200540160781
3,gbr_small,0.48059842099904293,0.4634590918254692,0.6638850232094439,0.13518622271180367
3,S2A_expr_raw,0.08124025351181152,,0.4970581728093047,0.16581653643303082
3,S2A_expr_recentred,0.2332624438145986,,0.4970581728093047,0.1526635431556348
3,_train_insample_ridge12,0.5483189021604451,,,
3,_oracle_g,1.0,1.0,1.0,0.05401194038435545
3,_B0,0.0,0.0,0.0,0.1740209679138586
3,_ridge12_r2_on_g,0.42913154893630334,,,
3,_hgb_r2_on_g,0.3168311121606119,,,
3,_S2A_expr_r2_on_g,0.22068847917750278,,,
4,ridge12,0.5348194474295043,0.5120189661384611,0.7445587590803973,0.14180620212205278
4,ridge12_a10,0.5333220725863854,0.5151911565006608,0.744903895687004,0.1419789570178956
4,ridge_mass3,0.5436248085134519,0.5226211911047522,0.7560507829221649,0.14240244275699643
4,ridge_nonmass9,0.47037752597487736,0.4838924825730311,0.7218629890784367,0.14858132610243485
4,ridge_ext_log_inv,0.5495644793441941,0.5438461314514327,0.7458709616243279,0.13726769725976104
4,ridge_poly2,0.5774279751385163,0.5962922626438222,0.7354758570966273,0.13746414944470245
4,hgb,0.5782428264065341,0.5880196274510423,0.7316212621238312,0.1396690811406674
4,gbr_small,0.5883372985529158,0.6016737077777653,0.7404786292953629,0.1375927578703316
4,S2A_expr_raw,0.3810159899981739,,0.7304948361861043,0.15283287355085765
4,S2A_expr_recentred,0.4951918359987031,,0.7304948361861043,0.14874607805442605
4,_train_insample_ridge12,0.5296152434649405,,,
4,_oracle_g,1.0,1.0,1.0,0.04758189810803557
4,_B0,0.0,0.0,0.0,0.20149455827409293
4,_ridge12_r2_on_g,0.452096748079199,,,
4,_hgb_r2_on_g,0.43848758759309603,,,
4,_S2A_expr_r2_on_g,0.4728488408642827,,,
