cluster,complexity,expr,seed,test_r2_unweighted,test_r2_weighted,test_spearman,valid_r2
0,8,sqrt(inv(heteroatom_fraction) + aromatic_ring_count) / total_atom_count,1211763600,0.4241105803558445,0.4458827505112207,0.6473145831804685,0.35620230962572397
1,19,(((ring_count + 12.242892) / ((heteroatom_fraction + precursor_mz) - -2.4705117)) + (aromatic_ring_count + -1.2916353)) / (total_atom_count + total_atom_count),1211763600,0.4322756634510174,0.4781369639926091,0.6503471243184522,0.36393164546246515
2,13,(inv(heteroatom_fraction + 1.8428123) / ((ring_count * -0.14489745) + total_atom_count)) / 0.31103617,1211763601,0.4485187010001712,0.4963562614737612,0.6811312766201978,0.4327657007231741
3,16,(inv(heteroatom_fraction + 1.7845356) / (total_atom_count + ((sqrt(rdbe) * -0.14493348) * ring_count))) / 0.31391418,1211763601,0.44542424019523197,0.511368957941909,0.6807407858487899,0.44001775931891973
0,8,sqrt(aromatic_ring_count + inv(heteroatom_fraction)) / total_atom_count,1211763602,0.4241105803558445,0.4458827505112207,0.6473145831804685,0.35620230962572397
0,10,(1.0238297 / total_atom_count) * sqrt(inv(heteroatom_fraction) + aromatic_ring_count),1211763602,0.4107000430504253,0.4489232482161457,0.6473145831804685,0.3655905762824547
0,8,sqrt(inv(heteroatom_fraction) + aromatic_ring_count) / total_atom_count,1211763603,0.4241105803558445,0.4458827505112207,0.6473145831804685,0.35620230962572397
0,10,sqrt(inv(heteroatom_fraction) + (aromatic_ring_count * 1.0580765)) / total_atom_count,1211763603,0.414994391863857,0.4450218920193302,0.6444636472680079,0.35675353287097067
-1,16,((rotatable_bonds * -0.18487826) + (((aromatic_ring_count + 3.410905) + (heteroatom_fraction * -1.0148776)) / total_atom_count)) * 0.47080785,1211763603,0.4556606559102945,0.4817173288823986,0.6578268590994487,0.35156473040340674
4,18,((aromatic_ring_count * -0.13026062) + ((ring_count * -0.067671396) + -0.34458193)) * (((heteroatom_fraction + -4.2422395) / total_atom_count) + 0.5266613),1211763604,0.4601884000783777,0.5008740395633611,0.6657848162648853,0.38640698819271047
0,8,sqrt(inv(heteroatom_fraction) + aromatic_ring_count) / total_atom_count,1211763605,0.4241105803558445,0.4458827505112207,0.6473145831804685,0.35620230962572397
0,10,sqrt(aromatic_ring_count + (1.0398384 / heteroatom_fraction)) / total_atom_count,1211763605,0.419783481788939,0.4495412810787679,0.6476675272208585,0.36410528424213184
5,11,((aromatic_ring_count + 2.9092515) / total_atom_count) / (heteroatom_fraction + 1.6300658),1211763605,0.4351941211570016,0.48537775842199127,0.6550702242059353,0.36602007426343164
-1,19,(aromatic_ring_count + 1.780512) * ((((1.8127755 / total_atom_count) / (heteroatom_fraction + 2.2668147)) - -0.038427774) - (rotatable_bonds * 0.052383218)),1211763605,0.4480750049462011,0.4842790826780248,0.660548477407414,0.36118067509542784
-1,20,(((3.2797227 - heteroatom_fraction) + (aromatic_ring_count - (rotatable_bonds * (rdbe * 0.41531533)))) / (total_atom_count - -0.08725996)) * 0.5741015,1211763606,0.5150530254719423,0.5272222268929401,0.6931242252153839,0.4192292679293791
0,10,sqrt(inv(heteroatom_fraction) + aromatic_ring_count) / (total_atom_count + -0.024068808),1211763607,0.4087274113359807,0.4486637400789012,0.6467197507675698,0.3682813079862076
-1,19,inv(total_atom_count) + (((aromatic_ring_count * (total_atom_count - 1.5197179)) - (tpsa * 0.28954142)) * ((heteroatom_fraction + sqrt(total_atom_count)) + -2.666769)),1211763607,0.4524211612765323,0.48781043934831125,0.6415818544454209,0.36189983248611435
-1,20,((((aromatic_ring_count - -2.1901839) / total_atom_count) / square((heteroatom_fraction * 0.25013906) - -1.2373317)) - (sqrt(rotatable_bonds) * 0.26854616)) - -0.31282148,1211763608,0.4553265252515982,0.5100662840286856,0.6691742883666999,0.4287673370768701
6,14,log((((aromatic_ring_count * ring_count) + 1.1863569) / (heteroatom_fraction * cube(total_atom_count))) + 1.6842036),1211763609,0.42954666779436,0.4731406911082091,0.6571442920735242,0.39007049710939856
5,11,(aromatic_ring_count + 2.6687188) * (inv(heteroatom_fraction + 1.4369371) / total_atom_count),1211763610,0.4359504706037418,0.4892061657933102,0.6524003242452264,0.3664986182257113
7,20,((inv(heteroatom_fraction + (0.5043351 - ((rotatable_bonds * rdbe) * -0.32226345))) - 0.22303718) + sqrt(aromatic_ring_count + 0.26735136)) / total_atom_count,1211763610,0.4428775963340482,0.46449439815646,0.6491949629119728,0.3710909737203446
8,15,((sqrt((ring_count + 2.859893) + aromatic_ring_count) + (heteroatom_fraction * -0.47520375)) / total_atom_count) - 0.27028403,1211763611,0.44851830429600714,0.49769994880371904,0.6654075321171069,0.39065017693365556
