scope,criterion,truth_family,selected_family,count
full_grid_10000_worlds,bic,mass_power,mass_power,1810
full_grid_10000_worlds,bic,mass_power,mass_affine_descriptor,15
full_grid_10000_worlds,bic,mass_power,mass_saturating_descriptor,40
full_grid_10000_worlds,bic,mass_power,mass_interaction,120
full_grid_10000_worlds,bic,mass_power,mass_exponential_descriptor,15
full_grid_10000_worlds,bic,mass_affine_descriptor,mass_power,9
full_grid_10000_worlds,bic,mass_affine_descriptor,mass_affine_descriptor,1460
full_grid_10000_worlds,bic,mass_affine_descriptor,mass_saturating_descriptor,94
full_grid_10000_worlds,bic,mass_affine_descriptor,mass_interaction,14
full_grid_10000_worlds,bic,mass_affine_descriptor,mass_exponential_descriptor,423
full_grid_10000_worlds,bic,mass_saturating_descriptor,mass_power,64
full_grid_10000_worlds,bic,mass_saturating_descriptor,mass_affine_descriptor,146
full_grid_10000_worlds,bic,mass_saturating_descriptor,mass_saturating_descriptor,1686
full_grid_10000_worlds,bic,mass_saturating_descriptor,mass_interaction,17
full_grid_10000_worlds,bic,mass_saturating_descriptor,mass_exponential_descriptor,87
full_grid_10000_worlds,bic,mass_interaction,mass_power,8
full_grid_10000_worlds,bic,mass_interaction,mass_affine_descriptor,3
full_grid_10000_worlds,bic,mass_interaction,mass_saturating_descriptor,3
full_grid_10000_worlds,bic,mass_interaction,mass_interaction,1971
full_grid_10000_worlds,bic,mass_interaction,mass_exponential_descriptor,15
full_grid_10000_worlds,bic,mass_exponential_descriptor,mass_power,112
full_grid_10000_worlds,bic,mass_exponential_descriptor,mass_affine_descriptor,335
full_grid_10000_worlds,bic,mass_exponential_descriptor,mass_saturating_descriptor,152
full_grid_10000_worlds,bic,mass_exponential_descriptor,mass_interaction,64
full_grid_10000_worlds,bic,mass_exponential_descriptor,mass_exponential_descriptor,1337
full_grid_10000_worlds,val_r2,mass_power,mass_power,630
full_grid_10000_worlds,val_r2,mass_power,mass_affine_descriptor,180
full_grid_10000_worlds,val_r2,mass_power,mass_saturating_descriptor,360
full_grid_10000_worlds,val_r2,mass_power,mass_interaction,630
full_grid_10000_worlds,val_r2,mass_power,mass_exponential_descriptor,200
full_grid_10000_worlds,val_r2,mass_affine_descriptor,mass_power,33
full_grid_10000_worlds,val_r2,mass_affine_descriptor,mass_affine_descriptor,1213
full_grid_10000_worlds,val_r2,mass_affine_descriptor,mass_saturating_descriptor,296
full_grid_10000_worlds,val_r2,mass_affine_descriptor,mass_interaction,61
full_grid_10000_worlds,val_r2,mass_affine_descriptor,mass_exponential_descriptor,397
full_grid_10000_worlds,val_r2,mass_saturating_descriptor,mass_power,82
full_grid_10000_worlds,val_r2,mass_saturating_descriptor,mass_affine_descriptor,192
full_grid_10000_worlds,val_r2,mass_saturating_descriptor,mass_saturating_descriptor,1482
full_grid_10000_worlds,val_r2,mass_saturating_descriptor,mass_interaction,120
full_grid_10000_worlds,val_r2,mass_saturating_descriptor,mass_exponential_descriptor,124
full_grid_10000_worlds,val_r2,mass_interaction,mass_power,30
full_grid_10000_worlds,val_r2,mass_interaction,mass_affine_descriptor,26
